accuracy,average_precision,f1,precision,recall,roc_auc,method
0.6830036765296129,0.7410454435592632,0.6899781356843688,0.6751242519914886,0.7055003451763611,0.7450659442222318,Logistic Regression
0.6831160595308813,0.7419497194029187,0.6891240062528793,0.6763016948890554,0.702441922070416,0.7452807267735174,Logistic Regression
0.6829755807792959,0.7404964700230566,0.689078011950968,0.676064388555892,0.702602469215085,0.7454507978587498,Logistic Regression
0.6833087161044841,0.742245210622293,0.6890387366545939,0.6767932489451477,0.7017355146338722,0.7455740565262439,Logistic Regression
0.6831401416025816,0.7407940085659224,0.6898510640805534,0.6755434155349517,0.7047778830253504,0.7452972006601936,Logistic Regression
0.6840512466485783,0.7422173439937029,0.6903109558430113,0.6768999305609135,0.7042641321624095,0.7461375129650867,Logistic Regression
0.6833970170340521,0.741196037965704,0.6899928865902402,0.6759114533205005,0.7046735273813155,0.7458758025867738,Logistic Regression
0.6829113619214282,0.7393697534525702,0.6881335859782095,0.676984139313066,0.6996564291104083,0.7444659362244906,Logistic Regression
0.6818156276590621,0.7402343119857643,0.6886964716970019,0.6741184338988784,0.7039189558013711,0.743675101769967,Logistic Regression
0.6839268226114599,0.7427751117943783,0.6897361443267288,0.677287815597459,0.7026506333584858,0.7464591167049223,Logistic Regression
0.6527204713664168,0.7268615273490056,0.701324164975215,0.6152206300948413,0.8154510572029476,0.7305073063734298,Naive Bayes
0.654502544672243,0.7283347043270862,0.7021556347531228,0.6170485781702304,0.814495801692167,0.7318956233211883,Naive Bayes
0.6533987830526434,0.7279994100703276,0.7020114357489656,0.6156616369787978,0.8165347504294637,0.7316221189640969,Naive Bayes
0.6539928074879189,0.7294880076958482,0.7019997580240939,0.6164676311843168,0.8150898261274423,0.7318275601934264,Naive Bayes
0.6532302085507409,0.7287850948666699,0.7019035362230832,0.6155093643157544,0.8165106683577632,0.7312124129584784,Naive Bayes
0.6530335382985214,0.727188317370254,0.7014924342355159,0.6155253908617138,0.8153707836306131,0.7307813463752543,Naive Bayes
0.6535191934111452,0.7283515852931955,0.7019730368887125,0.6158491891859148,0.8161012731388573,0.7314580472931925,Naive Bayes
0.6540570263457864,0.7278659123927149,0.7018963722326558,0.6166252423172518,0.8145359384783342,0.7311874677013315,Naive Bayes
0.65090227495304,0.7254135617740805,0.7002167971240775,0.6135456242185565,0.8154028930595469,0.7288198596312243,Naive Bayes
0.6534188514457271,0.7280111760044246,0.7018465830617093,0.615800826456296,0.8158443977073868,0.7312894303585615,Naive Bayes
0.7068007770481802,0.7729982790439399,0.7022329471804863,0.7133463627931629,0.6914604973750542,0.7777145459596647,Random Forest
0.7025703597861512,0.770592907197929,0.696310017540121,0.7112811667978365,0.6819561064106475,0.7754757368151037,Random Forest
0.7062509030776888,0.7713107087425146,0.7015053816066921,0.7130243008630911,0.6903527220768378,0.7776235197341324,Random Forest
0.70724228169602,0.7752988815539236,0.7028557461196888,0.7135471810481736,0.6924799717437026,0.7785692057463556,Random Forest
0.7044086245926117,0.7696120878695674,0.6997961845752486,0.710888973547778,0.6890442628477853,0.7751754511879254,Random Forest
0.707037584086567,0.7730240899154938,0.7022076072898774,0.7139787444102444,0.6908183087963781,0.7781393040816865,Random Forest
0.7097749129031741,0.7753305988168061,0.7066631508488671,0.7143220345933355,0.6991667603191677,0.7797507511004731,Random Forest
0.7077881419878947,0.773182676468376,0.7037356555709287,0.7136325371803971,0.6941095252620932,0.7784132332815721,Random Forest
0.7056408239279465,0.7694829506331138,0.7019818033313151,0.7108175945356541,0.6933629810393822,0.7747988674550201,Random Forest
0.7062990672210895,0.7723940399385525,0.7030729464658884,0.7108815347879246,0.6954340392056128,0.776478194789646,Random Forest
