accuracy,average_precision,f1,precision,recall,roc_auc,method
0.6888636473100326,0.7506058733142036,0.6809720764656254,0.6986935335399583,0.6641273459951514,0.7554489490058015,Logistic Regression
0.6907259941881934,0.7527938736471851,0.682881659361689,0.7006528109719536,0.6659896928733122,0.7566951062279796,Logistic Regression
0.6914243742675037,0.75232947558779,0.6839073607347989,0.7009835733971631,0.6676433284634032,0.7578307885362515,Logistic Regression
0.6896142052113603,0.7516237681283514,0.6806547791111589,0.7008861749897946,0.661558591680447,0.756005705777526,Logistic Regression
0.6888194968452486,0.7508635472514021,0.6807494338068766,0.6988738205553113,0.6635413489171095,0.7545901345491344,Logistic Regression
0.689341275065423,0.7510254997554413,0.6812138585479167,0.6995144727715653,0.6638463884919806,0.7557232417030634,Logistic Regression
0.6897145471767785,0.7532779782443275,0.6813961251715482,0.700166851586784,0.6636055677749771,0.7558585846446172,Logistic Regression
0.6894054939232905,0.7506778636977268,0.6805719522162323,0.7004945447129601,0.6617512482540499,0.7555319124973836,Logistic Regression
0.68778798144075,0.7500341523850056,0.6796423585228138,0.6978492713909962,0.6623613274037922,0.7537483584600896,Logistic Regression
0.6899352995006984,0.7518960218733017,0.6816975690152451,0.7003030662174289,0.6640550997800504,0.7564064154002873,Logistic Regression
0.6707298473196655,0.7070465194312561,0.669201643568269,0.6723220145353783,0.6661101032318141,0.7278187408490632,Naive Bayes
0.6707980798561498,0.7066761616451906,0.6690446600061333,0.672627257533224,0.6655000240820717,0.7275654501293534,Naive Bayes
0.6704689582095782,0.7060952442768469,0.6692129797503646,0.6717733846701395,0.6666720182381556,0.7275228930344726,Naive Bayes
0.6706856968548814,0.7055231174285566,0.6686883696889916,0.6727687857514301,0.6646571515725593,0.7271873957496,Naive Bayes
0.6699471799894039,0.7042833046989683,0.6688093051729416,0.671123037876461,0.6665114710934866,0.7260294162184271,Naive Bayes
0.6699752757397209,0.7045066771647756,0.6685451459852544,0.6714548295937619,0.6656605712267407,0.7264361802537456,Naive Bayes
0.6702602469215085,0.7051923959445624,0.668805985793416,0.6717687074829932,0.6658692825148105,0.7266665026561694,Naive Bayes
0.6693491418755118,0.7051750562110087,0.667205293625754,0.6715594987354536,0.6629071876956668,0.7262699320770567,Naive Bayes
0.6687470900830029,0.70434428862833,0.6674296122275457,0.6700947510660507,0.6647855892882945,0.7252788672096075,Naive Bayes
0.6713399264694078,0.7057742588466571,0.6692437259915417,0.6735395747794626,0.6650023279335977,0.7273460003323288,Naive Bayes
0.7321913079775876,0.8053811437476449,0.7203965839472339,0.7535857062701641,0.6900075457157995,0.8012366649982269,Random Forest
0.7304132483503781,0.8055782560881533,0.7158864510234383,0.7566593642419636,0.6792829964519081,0.8014668617456453,Random Forest
0.7309872043925699,0.8048751848823826,0.7175201247523917,0.7553329310712004,0.6833127297831008,0.8024759100674512,Random Forest
0.7312440798240404,0.8053063791082103,0.7180346645555762,0.7551504844909744,0.6843964230096168,0.801077133017122,Random Forest
0.7324120603015075,0.8046116775425632,0.7207499277465728,0.7535933572160569,0.6906497342944756,0.8009179173966571,Random Forest
0.7295663621622489,0.8037133695609505,0.7161764829776658,0.7534834249246587,0.6823895837012539,0.8010022807494344,Random Forest
0.7324441697304414,0.8062792606334825,0.7197339488499007,0.755630103729861,0.6870936150400565,0.8013808342373119,Random Forest
0.7312962576460578,0.8048133514890544,0.7178529735288292,0.7556586781185949,0.6836498787869058,0.8006872091044908,Random Forest
0.7299918120956219,0.8028369796392765,0.7166516439360116,0.7538991882598987,0.6829113619214282,0.7992710394038633,Random Forest
0.7314487774334933,0.8056284088185299,0.7184355708171846,0.7550217143261483,0.6852312681618957,0.8015226465751323,Random Forest
