Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB04832	-0.0248959	-0.0445356	0.00130807	-0.04342	-0.00673475	0.00600084	-0.120999	0.105961	-0.00982055	-0.0406169	0.110092	-0.0988102	0.0142629	-0.0982729	-0.0127231	-0.0917554	0.0504595	0.0850943	0.0704131	0.0453414	-0.0981221	-0.0537211	-0.12994	-0.075366	-0.0827128	-0.0490386	-0.0994216	-0.0811126	0.0256684	0.00500664	0.0961832	0.0580083	-0.0601631	-0.0961359	-0.105893	-0.0113713	0.0274992	0.00786252	-0.00202307	0.0355295	0.0297469	0.170368	-0.0349232	-0.0814891	-0.039984	-0.0184359	-0.145384	0.0348227	-0.0233353	-0.014153	0.0862021	0.143283	0.102457	0.014508	-0.019554	-0.0785495	-0.160669	-0.117579	-0.162556	-0.0855488	0.115603	-0.0129931	-0.0240205	0.0425724	-0.0231912	0.20665	-0.105285	0.00147156	-0.0569999	0.0778251	-0.0220129	-0.0438061	0.0810941	0.0696108	-0.0421433	0.130783	-0.0132491	-0.00101355	-0.10464	-0.149294	-0.00350393	-0.0550874	-0.0324164	-0.0523586	-0.052154	0.0393759	-0.0195432	0.0942519	-0.0322877	-0.0315215	0.0345608	-0.12324	0.024814	0.0885876	0.133042	0.075685	-0.0895513	0.114637	-0.0258852	-0.0372666
DB04833	0.026914	-0.0539361	-0.0506733	0.0151519	0.0202552	0.0213503	-0.111982	0.0703014	-0.0759163	-0.0248626	0.117374	-0.116213	0.0158494	-0.163833	-0.081678	-0.065407	0.0653723	0.10792	0.0437228	0.00926474	-0.0676128	0.0307091	-0.104264	-0.0345716	-0.0069287	-0.0110735	-0.113126	-0.0385876	0.095264	-0.00604698	0.0876616	0.0398467	-0.0687444	-0.113519	-0.0941019	-0.0279503	0.00356213	0.0485147	0.0230897	0.0668479	0.047911	0.182344	-0.0352119	-0.130419	0.0131684	-0.0836707	-0.166694	0.0151539	-0.0905189	0.0182508	0.0718742	0.13937	0.0308891	0.0722896	-0.0628625	-0.0640856	-0.109245	-0.136755	-0.106431	-0.110838	0.0631618	-0.00150861	-0.0628095	0.103093	-0.0352921	0.212905	-0.0959367	-0.00691613	-0.0868965	0.0637757	-0.00335059	-0.0371123	0.115784	0.0245944	-0.0441046	0.0952609	-0.00145679	-0.0366334	-0.144981	-0.151403	-0.0250391	-0.0198454	-0.0472389	0.037988	-0.130639	0.0521615	-0.0481277	0.00515457	-0.000322609	0.00640847	0.0379633	-0.065692	0.0436951	0.0703581	0.112335	0.0628697	-0.0865973	0.0179387	-0.0644187	-0.0151994
DB00823	-0.056276	-0.059672	-0.0401807	-0.0200985	0.0194756	0.0505208	-0.106025	0.092506	0.0320217	-0.00274471	0.145983	-0.0684256	-0.0192528	-0.178942	-0.0296104	-0.123797	0.0263956	0.136569	0.0618217	0.0518496	-0.107119	-0.089884	-0.156933	-0.0711354	-0.0781169	0.0409001	-0.123087	-0.0385609	0.1114	0.00143822	0.058516	0.0149941	-0.0852979	-0.174294	-0.0996389	-0.0286922	-0.039488	0.0854213	0.0186125	0.0235727	0.013383	0.173346	-0.0560074	-0.0832855	-0.0449429	-0.0887453	-0.142638	0.138348	-0.0989874	0.0192879	0.0874599	0.127438	0.0309553	0.0228911	-0.00197636	-0.113228	-0.183752	-0.137599	-0.185586	-0.0820023	0.121037	-0.0503685	-0.0228471	0.103916	-0.0157553	0.20029	-0.0542584	-0.0325467	-0.057885	0.0831366	-0.058168	-0.0469175	0.0774239	0.0538158	-0.053102	0.154747	-0.00600727	-0.00304228	-0.183379	-0.205844	-0.0829067	-0.0182172	-0.0271983	-0.0422574	-0.0506128	0.0726341	-0.0102991	0.0573824	-0.0203581	-0.00161066	0.0733986	-0.0966521	0.0253679	0.0928758	0.140906	0.0904044	-0.0622032	0.0607287	-0.00678986	-0.0207292
DB00629	-0.0423198	-0.098015	-0.0336922	-0.00636964	0.00278987	-0.0223925	-0.0888022	0.0920221	0.0262272	-0.0339232	0.109811	-0.114872	-0.00028922	-0.160933	-0.0219366	-0.125992	0.0776179	0.104877	0.036627	0.0368663	-0.0896246	-0.0466036	-0.151519	-0.0963727	-0.07637	-0.0477159	-0.125574	-0.0394231	0.0806033	-0.0367784	0.065808	-0.0235042	-0.104979	-0.185514	-0.116681	-0.0242317	0.00674223	0.118372	-0.00826056	0.0813872	0.0503564	0.16252	-0.0273623	-0.106007	0.0109253	-0.0727534	-0.156846	0.138515	-0.0901244	-0.0153802	0.0957393	0.130491	0.0595503	0.0452556	-0.0705935	-0.0972497	-0.180715	-0.107487	-0.174038	-0.0990604	0.0412505	-0.02909	-0.0513825	0.0518291	-0.023499	0.182303	-0.0887578	-0.0175305	-0.0481034	0.0773175	-0.0628842	-0.0529019	0.0823129	0.0507204	-0.0226387	0.172178	-0.00913236	-0.0170796	-0.184769	-0.168468	-0.00894378	0.0126308	-0.0286695	-0.0666043	-0.0785622	0.0703452	0.00256177	-0.0188926	0.0274226	-0.0515299	0.10946	-0.106552	0.0328623	0.0817993	0.144629	0.063152	-0.0881365	0.0888519	-0.0581564	-0.00820728
DB00821	-0.0402203	-0.077811	0.0357595	0.00161587	0.0306069	0.0105185	-0.0973544	0.112076	0.0309101	-0.0726258	0.150118	-0.0816442	0.0289987	-0.172619	0.000883286	-0.13255	0.00707364	0.112919	0.0502195	0.0243604	-0.11861	-0.0363503	-0.126718	-0.0773277	-0.0936275	-0.0286414	-0.123615	-0.0177805	0.100865	-0.0459622	0.088382	0.0622136	-0.0949694	-0.147164	-0.10212	-0.0257809	-0.0106587	-7.4308e-05	0.0270915	0.0545138	-0.0280338	0.158881	-0.0616909	-0.119241	-0.00221119	-0.0805834	-0.135877	0.122112	-0.112641	0.012349	0.109895	0.125831	0.0618276	0.0202441	-0.0766872	-0.0698285	-0.207702	-0.0839984	-0.15577	-0.0988379	0.0903828	-0.0604443	-0.0424653	0.0897072	0.00221617	0.193585	-0.0759033	-0.00333785	-0.0774918	0.043709	-0.0364224	-0.0356172	0.0953424	0.049072	-0.0541619	0.155737	0.0316233	-0.00385543	-0.152005	-0.182731	-0.00448237	-0.00782287	-0.0225063	-0.0480709	-0.0696756	0.0213162	-0.0197781	0.11459	-0.0282957	-0.0168473	0.0829738	-0.119381	0.024341	0.0984645	0.15781	0.0890389	-0.0685846	0.110821	-0.00529789	-0.034572
DB00820	-0.0647682	-0.0710699	-0.0315049	-0.0360909	0.0172231	0.00374467	-0.0514307	0.0507326	0.0481352	-0.0330214	0.170323	-0.077074	0.0201878	-0.186655	-0.0214035	-0.137169	0.0179569	0.108936	0.120064	0.00371014	-0.0963693	0.0293597	-0.116799	-0.118838	-0.113248	0.0418431	-0.108414	-0.0459692	0.0871332	0.0117027	0.118458	0.0606473	-0.0498544	-0.211756	-0.0798149	-0.00368265	-0.00208597	0.0815893	-0.00479335	0.0154701	-0.00661142	0.194731	-0.0292246	-0.0837784	-0.0497139	-0.0371929	-0.160962	0.150723	-0.10621	0.0479007	0.0781019	0.120515	0.0471453	0.000462082	-0.0898198	-0.116602	-0.167673	-0.114459	-0.15205	-0.115411	0.0678653	-0.0405413	-0.0252245	0.0905353	-0.0824009	0.199197	-0.0954116	-0.0500302	-0.0479481	0.0650564	-0.0648626	-0.0504005	0.0809887	0.0592845	-0.0716545	0.183862	0.0180831	-0.00916224	-0.172311	-0.150978	-0.0166482	-0.0398781	-0.0388678	-0.0586289	-0.102039	0.0525755	-0.026728	0.103358	-0.062441	-0.0548673	0.0764588	-0.110224	0.0227526	0.0617546	0.115549	0.186416	-0.0488779	0.0138446	-0.00994121	0.014681
DB00827	-0.0358987	-0.0931236	0.0415911	0.00187949	0.011531	0.0242433	-0.13372	0.104893	-0.0338483	-0.0427969	0.0993889	-0.0442752	0.000245128	-0.175589	-0.00979297	-0.11225	0.0387431	0.114434	0.0508693	0.0243761	-0.0985124	-0.112363	-0.136188	-0.0553423	-0.0764675	-0.0442473	-0.1224	-0.0745706	0.101314	-0.0252521	0.123592	0.051737	-0.104948	-0.163738	-0.125869	-0.0317672	-0.00537583	0.0614008	-0.0148128	0.0877282	0.0482534	0.136688	-0.0497235	-0.0863171	0.0158519	-0.0205031	-0.142743	0.0760548	-0.0941563	0.0446195	0.0953564	0.120643	0.0583245	0.0658335	-0.0808641	-0.0883199	-0.160256	-0.0995882	-0.125632	-0.0874507	0.11472	-0.0511412	-0.0068288	0.0459938	-0.048912	0.177327	-0.0628238	-0.00430123	-0.0738573	0.0620269	-0.0257501	-0.0621714	0.0892236	0.0570885	-0.0446727	0.164385	0.00151442	0.00661305	-0.156655	-0.14293	-0.0188905	-0.0049203	-0.00938908	-0.0543926	-0.0834684	0.0666703	-0.00262189	0.0213725	-0.0142618	-0.0202001	0.0253877	-0.110693	0.0474114	0.0788101	0.1151	0.0776184	-0.0556685	0.0420814	-0.0386813	-0.051495
DB00826	-0.0404078	-0.0373637	-0.038732	-0.00596765	-0.0062122	-0.0220243	-0.0810314	0.057717	0.00121414	-0.0171682	0.116847	-0.0993067	0.019299	-0.142392	-0.0516027	-0.0890777	0.0143152	0.0903307	0.0603478	-0.020094	-0.0525827	-0.08064	-0.121581	-0.0719101	-0.0762017	-0.0364497	-0.134467	-0.07838	0.10843	0.00562539	0.0880163	0.0522621	-0.0748232	-0.17031	-0.118266	-0.0400415	0.0225373	0.0214138	-0.026516	0.0559581	-0.0318083	0.174627	-0.0290525	-0.11704	0.0184715	-0.0419172	-0.167261	0.0178528	-0.104443	0.015281	0.0972499	0.122015	0.0339768	0.00851855	-0.0796714	-0.0609138	-0.157289	-0.101642	-0.158082	-0.0753423	0.0658739	-0.00254018	-0.0522269	0.0793827	-0.0353873	0.167232	-0.114028	-0.0213385	-0.0640722	0.0605813	-0.0550864	-0.0400345	0.054914	0.0721327	-0.0508318	0.166341	-0.0153376	-0.0620382	-0.106831	-0.153932	-0.0102885	-0.0839804	-0.0199583	0.0167015	-0.0682324	0.0385293	-0.0168974	0.0195342	0.00786433	0.0115527	0.0661311	-0.108242	0.00610458	0.0954373	0.120144	0.122599	-0.0524942	0.0694182	-0.0356688	-0.000619615
DB00628	-0.0769954	-0.0708317	-0.0391392	-0.0722593	-0.0147563	0.0166311	-0.0798889	0.0494861	0.0529559	-0.0859841	0.151706	-0.0409487	-0.0352433	-0.192908	0.0203726	-0.0932426	0.00432059	0.123289	0.0474155	0.00988852	-0.114263	-0.00756059	-0.116654	-0.0582895	-0.07642	-0.00488603	-0.135966	-0.0661579	0.0984094	0.0213343	0.0675185	0.0604462	-0.0386532	-0.190586	-0.118612	-0.0170828	0.0205895	0.0863177	0.00722231	0.0388558	0.000650918	0.148181	-0.052668	-0.130763	-0.0354488	-0.0864108	-0.158734	0.127059	-0.128342	0.0189932	0.100632	0.12783	0.0235947	-0.00126047	-0.0520955	-0.0830365	-0.191333	-0.147405	-0.144206	-0.103561	0.121562	-0.0114624	0.00685966	0.11795	-0.0338286	0.172117	-0.100077	-0.0402628	-0.0552768	0.0582823	-0.0627701	-0.0474127	0.0833829	0.0604849	-0.0433873	0.164294	0.0240136	-0.00885815	-0.185322	-0.160527	-0.0121404	-0.0413961	-0.0381537	-0.0495349	-0.100757	-0.0156196	-0.0467877	0.0647685	-0.0644235	-0.0301341	0.0362366	-0.100064	0.0229375	0.0527353	0.127781	0.127913	-0.0569258	-0.00985781	-0.0165252	-0.0312972
DB06616	-0.0752956	-0.0242649	0.0377601	-0.0239478	0.00190436	0.0057341	-0.128355	0.0678048	0.0747014	-0.0610859	0.159868	-0.0739881	-5.6515e-06	-0.204722	0.023729	-0.143469	0.0533719	0.0875317	0.0824583	0.0648209	-0.120542	-0.0322048	-0.12196	-0.106487	-0.107782	0.0253526	-0.149233	-0.0519594	0.0339188	0.0125868	0.0920773	0.0780999	-0.0865401	-0.196704	-0.120983	-0.0277946	0.0141411	0.0609666	0.0117832	0.00248536	-0.0349565	0.147065	-0.0933672	-0.0890875	-0.0204045	-0.0404982	-0.112183	0.100507	-0.137122	0.00794865	0.10408	0.125285	0.0623127	-0.0502976	-0.0397312	-0.116361	-0.190638	-0.106704	-0.165209	-0.102202	0.10715	-0.0199496	-0.020414	0.0899304	-0.024054	0.181368	-0.0720672	0.00946607	-0.0939357	0.0512946	-0.058354	-0.0319825	0.0830591	0.0965012	-0.0561105	0.163545	0.0256175	-0.0390102	-0.155355	-0.187082	-0.0150283	-0.0164188	0.0120832	-0.0654042	-0.0812169	0.0568703	-0.0123574	0.107427	-0.0284897	-0.0779547	0.030134	-0.124179	0.0440191	0.0638633	0.154786	0.102797	-0.0727442	0.0176845	0.0294497	0.025419
