,accuracy,average_precision,f1,precision,recall,roc_auc
0,0.8542882059350442,0.9265957680003915,0.8588801992085593,0.8325731052906418,0.8868632537763774,0.9326280883749313
1,0.8536129338410007,0.9261322613317422,0.8580419289657657,0.8329083266309405,0.884765371808083,0.9321956434738533
2,0.8527517940676461,0.9254718005586928,0.8573662909979275,0.8312607343587137,0.8851460340590742,0.9317067961884915
3,0.8540650059917079,0.9262593277731315,0.8586813179581467,0.8325355718209556,0.8865161786031466,0.9323320023755992
4,0.854502962039628,0.9266773110650783,0.8588856293138148,0.8338815217727266,0.8854533760798106,0.9326501693165202
5,0.8546523178462093,0.9266621131026463,0.8592069802836921,0.8330207257808475,0.8870897422757436,0.9326650970890684
6,0.8536836151201964,0.9267391531321169,0.8582264565656204,0.832231219273272,0.8859989130826028,0.9325926151513059
7,0.8547685966280806,0.9268137420850728,0.8592584794971924,0.833472061337744,0.8867164133241271,0.9328704132180959
8,0.8525955987783206,0.9255983647172414,0.8572165593412485,0.8312382489753555,0.8848383026300057,0.9317067938323991
9,0.8540146269333396,0.9269300940185599,0.8585808283981022,0.8325165561588268,0.8862975551225419,0.9325337209536073
