,accuracy,average_precision,f1,precision,recall,roc_auc
0,0.6707177409551595,0.740636436946353,0.6726680331259535,0.6685055958659616,0.6774227403545512,0.7305652572213839
1,0.6715479968145321,0.7422451297448605,0.6739676856721636,0.6688888152733921,0.6794047022760962,0.7320644431274264
2,0.6715710853888315,0.7420667409665485,0.673968177083978,0.669149040841004,0.6790550414137657,0.7320054211534337
3,0.6703476580414736,0.7412889857027025,0.6723212262228465,0.668463321167559,0.6769784319684622,0.7306893548276419
4,0.671124032040536,0.7413255572397267,0.6735608844283311,0.6684855750918004,0.6791767135197516,0.7314609160023414
5,0.6708848184497036,0.7407708979802571,0.673108334914062,0.6688399232979296,0.6780571792035004,0.7306768660894892
6,0.6712621864925161,0.7419237696420844,0.6733658978629229,0.6688975600438013,0.6785942718103423,0.7316053280958043
7,0.6717270285038003,0.7413157240118231,0.6733600752764615,0.6698187881204494,0.6778686024019873,0.7317659794758447
8,0.6705403053042674,0.7407177336862796,0.6730938116496507,0.6678487164802331,0.6788922568894205,0.7304244963073475
9,0.6707280940989278,0.7410787784593188,0.6724287531685764,0.6685805564428671,0.677540293550785,0.7309288355271962
