,accuracy,average_precision,f1,precision,recall,roc_auc
0,0.6657125644119549,0.7335399185898958,0.6664322497154379,0.6645794801114435,0.6706419006741735,0.723349180378767
1,0.6696546779174181,0.737505760323782,0.6702592456896833,0.6683297271129734,0.673457970675186,0.7288223986390817
2,0.6662102601617762,0.7341211130102918,0.6672316221841742,0.6655053362381206,0.6697459277582911,0.7233819403653323
3,0.6688230833054388,0.7376914672003767,0.6691804268634727,0.6687312480942904,0.673003952284147,0.7282653665372688
4,0.6674170235321769,0.7344558251506638,0.6679961796763061,0.6663748376535896,0.6717936629303047,0.7267738612962371
5,0.6684369413233073,0.7386765927917531,0.6682290346882318,0.6694770955057118,0.6691523411961918,0.7266425811890496
6,0.6648508034926586,0.7343356703916644,0.6652492654250767,0.6633220681582317,0.6699438458370878,0.7263410622110076
7,0.6660980617425265,0.7357797564376287,0.6653186533035201,0.6653514381003749,0.6694843234469554,0.7265070674176728
8,0.6674831997095978,0.7350352079594339,0.6676000014804231,0.6671389941499942,0.6700586995454358,0.7264012781280356
9,0.6657193655675839,0.7338376616915099,0.6648054077019564,0.664765564686583,0.6699874069064582,0.7240517378972757
