,accuracy,average_precision,f1,precision,recall,roc_auc
0,0.713954110151813,0.7800138516938833,0.7120851385617027,0.7167263594878521,0.7080509092161106,0.7849319635106924
1,0.7142007154592782,0.7799430902320942,0.7124586867724065,0.7166171679513601,0.7090732069880129,0.7854655043486748
2,0.7156137061003414,0.7819452953167946,0.7144958014257003,0.717228435642238,0.7119260507397962,0.7864729662831008
3,0.7136865018628834,0.7808617313475217,0.7122897169176031,0.7157307419332155,0.7092118118060661,0.7852192530648938
4,0.7136788446486111,0.7804943675999847,0.7118253325201722,0.71662865660697,0.7077679951688285,0.7849047559651814
5,0.7134755867158046,0.7798035228869166,0.7111495768664791,0.7163735871737613,0.7070339593447927,0.7846470919461298
6,0.7143013378681476,0.7814737528897843,0.7132525408068914,0.7160007552311072,0.7111837315530078,0.786100803517675
7,0.7133335067517093,0.7790192415882944,0.711606818667615,0.715767764976378,0.7079141619330536,0.7843434630933497
8,0.7136981110664327,0.779763822458349,0.7120851839556522,0.7157520370190966,0.7092144045058791,0.7845528348361939
9,0.715060900671744,0.780696656631444,0.713843107904275,0.7165560224326388,0.7115598333557792,0.7859144782759233
