Drug1	Drug2
DB00898	DB00283
DB00898	DB00628
DB00898	DB01041
DB00898	DB00460
DB00898	DB01238
DB00898	DB01146
DB00898	DB00476
DB00898	DB00391
DB00898	DB01544
DB00898	DB01558
DB00898	DB00349
DB00898	DB08811
DB00898	DB01553
DB00898	DB01545
DB00898	DB01071
DB00898	DB00920
DB00898	DB01198
DB00898	DB00911
DB00898	DB01551
DB00898	DB01608
DB00898	DB01547
DB00898	DB00267
DB00898	DB01476
DB00898	DB00427
DB00898	DB00484
DB00898	DB01267
DB00162	DB00755
DB00162	DB00926
DB00162	DB01229
DB00162	DB04942
DB00158	DB00795
DB00435	DB01032
DB00435	DB00727
DB00435	DB00250
DB00435	DB01020
DB00435	DB00391
DB00624	DB00783
DB00624	DB01045
DB00624	DB01211
DB00624	DB01229
DB00624	DB01174
DB00624	DB00252
DB00624	DB01128
DB00624	DB00349
DB00624	DB01072
DB00624	DB01609
DB00624	DB01259
DB00624	DB06717
DB00368	DB01412
DB00368	DB00150
DB00368	DB01235
DB00368	DB00368
DB00368	DB00917
DB00368	DB00107
DB00368	DB00668
DB00368	DB00543
DB00368	DB00637
DB00368	DB00335
DB00368	DB00887
DB00368	DB00477
DB00368	DB00310
DB00368	DB00363
DB00368	DB00390
DB00368	DB01075
DB00368	DB00903
DB00368	DB00695
DB00368	DB00999
DB00368	DB00808
DB00368	DB00951
DB00368	DB00455
DB00368	DB00579
DB00368	DB00277
DB00368	DB00214
DB00368	DB00384
DB00368	DB00726
DB00368	DB00235
DB00368	DB00929
DB00368	DB00524
DB00368	DB00421
DB00368	DB00334
DB00368	DB01325
DB00368	DB01168
DB00368	DB01069
DB00368	DB00960
DB00368	DB00727
DB00368	DB00883
DB00368	DB00880
DB00368	DB00985
DB00368	DB00342
DB00368	DB01159
DB00368	DB00228
DB00368	DB00753
DB00368	DB01189
DB00368	DB01236
DB00368	DB00370
DB00368	DB01020
DB00368	DB00436
DB00368	DB00562
DB00368	DB00774
DB00368	DB00232
DB00368	DB01324
DB00368	DB01021
DB00368	DB00283
DB00368	DB00353
DB00368	DB00429
DB00368	DB00472
DB00368	DB00601
DB00368	DB00814
DB00368	DB00700
DB00368	DB01146
DB00368	DB00476
DB00368	DB00872
DB00368	DB01078
DB00368	DB00606
DB00368	DB06262
DB00368	DB00568
DB00368	DB01071
DB00368	DB00920
DB00368	DB01160
DB00368	DB02925
DB00368	DB04890
DB00368	DB00751
DB00368	DB01106
DB00368	DB00427
DB00368	DB00561
DB00368	DB01505
DB00368	DB00366
DB00368	DB01104
DB00368	DB00715
DB00368	DB04831
DB00368	DB01171
DB00368	DB00934
DB00368	DB06700
DB00368	DB00289
DB00368	DB06594
DB00368	DB04818
DB00368	DB01247
DB00368	DB00184
DB00368	DB01176
DB00368	DB01546
DB00368	DB00422
DB00368	DB06766
DB00368	DB02959
DB00368	DB01114
DB00368	DB01156
DB00368	DB00215
DB00368	DB08801
DB00368	DB08802
DB00368	DB06691
DB00368	DB06684
DB00917	DB00368
DB00917	DB00917
