Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB06594	0.0457958	-0.018956	-0.0200898	-0.027334	0.00122722	0.0208004	0.0334646	-0.014942	0.00644408	-0.0626613	0.0641809	0.0315955	0.111152	0.0327453	-0.072995	-0.0485176	0.0971369	-0.0109071	-0.036693	0.0248679	0.0574717	0.125859	0.00344187	-0.065974	-0.0438091	-0.0269848	-0.100016	-0.0708019	0.0138563	-0.0780998	0.019473	-0.0415496	0.139734	-0.000642568	-0.0160883	-0.147243	0.0655073	-0.103942	0.00578792	0.0667854	0.0716779	-0.00655715	-0.0151037	0.00194626	0.00473778	0.00465576	0.028361	-0.0835979	0.0494864	-0.0978385	-0.0616297	-0.0796506	0.000862234	0.0993368	-0.0299683	0.0619533	0.0572034	0.00287835	0.0416103	0.229998	-0.0646859	-0.0258187	0.0701734	-0.0128676	0.0468124	0.048771	-0.131853	-0.0558562	-0.0586267	0.0238541	-0.0137263	-0.0715454	0.0219046	-0.0637883	-0.0998579	0.0863543	0.0368109	-0.0799053	-0.104983	-0.0841065	-0.102731	-0.1168	-0.0973194	-0.0396696	-0.0679429	-0.0262703	0.0707204	0.0282019	0.0078665	0.0204612	-0.0419492	-0.0375259	0.0197313	-0.0520691	0.084839	0.103703	0.0100971	0.0358196	-0.0340945	0.0676483
DB00627	0.0674054	-0.0337133	0.0292718	-0.00211721	-0.0306718	-0.0980826	-0.0441533	-0.0760397	-0.0150962	-0.0652516	0.109677	0.07986	0.083133	0.00616648	-0.0809078	-0.00922242	0.0904723	-0.076323	-0.0638108	0.094387	0.0719937	0.110592	0.0218153	-0.043614	-0.0664481	-0.027377	-0.0934782	-0.0865909	-0.00991042	-0.0668467	-0.00561746	-0.0691002	0.185322	0.048292	0.0141118	-0.164457	0.0066783	-0.100423	-0.0291076	0.0538712	0.0768869	0.0371124	0.000318708	-0.0468512	-0.101538	0.0612696	-0.0060799	-0.137303	-0.0144761	-0.0788478	-0.057502	-0.0694829	-0.00748352	0.0968948	-0.033354	0.0821377	0.113405	0.00128516	-0.0184915	0.263762	-0.0602236	-0.103991	0.053057	0.00856225	0.0247257	0.0914271	-0.155843	-0.0222587	-0.0673896	0.0448756	-0.0814371	0.0180404	-0.0363839	-0.0376786	-0.126226	0.0464547	0.0442638	-0.0818898	-0.0820219	-0.0955628	-0.12136	-0.0537439	-0.0648696	0.028479	-0.0880439	-0.0226065	0.0700847	0.0420126	0.032472	0.0183936	-0.0846967	0.00521133	0.0526406	-0.0517905	0.106973	0.0316834	0.0282608	0.0116299	0.0031852	0.0276301
DB06372	0.0335638	-0.0175779	-0.0197283	-0.0649432	-0.0457692	-0.0415754	-0.0204853	0.0185041	0.0100263	-0.000218049	0.0356134	-0.0141881	0.0676567	-0.0605156	-0.0553684	-0.031145	0.0286087	-0.0413958	-0.0103464	0.0693712	0.0533683	0.104419	-0.0503519	0.0112646	-0.0431168	-0.0746995	-0.0689397	-0.0490221	-0.00791453	-0.0752466	-0.00759223	-0.0572135	0.137988	0.0334709	-0.0357368	-0.0968358	0.0415368	-0.0942465	0.0293228	0.0109527	0.140297	-0.000152081	0.00375368	-0.0242965	0.0139369	-0.0126509	0.0231724	-0.0763954	-0.00441667	-0.0133961	-0.00734758	-0.0496375	0.00671859	0.0678094	-0.0156744	0.0312765	0.0446171	0.0162275	-0.0100091	0.245515	-0.0471189	-0.0637867	0.0411978	-0.0615042	0.07567	0.0609779	-0.105999	-0.0366483	-0.0536818	0.00377405	-0.0286865	-0.026773	-0.0237168	0.0123321	-0.0454482	0.0550118	0.0407781	-0.0759851	-0.0697766	-0.0935263	-0.0911956	-0.0437046	-0.0563871	0.0212688	-0.105608	-0.0290403	0.0220027	0.0322773	0.0475768	0.0145441	-0.0494984	-0.0515929	-0.00838674	-0.0129424	0.068211	0.044206	-0.0144321	0.0337265	-0.0098572	0.0319133
DB02877	0.0176783	-0.0483472	-0.042227	-0.0106632	0.0168864	-0.0324108	-0.0330533	-0.0343518	-0.024343	-0.0284782	0.0353577	0.0428402	0.111754	0.0518917	0.0189758	0.0222246	0.11243	-0.00793036	-0.0288096	0.0725041	0.0530094	0.0743506	0.0435714	0.0396748	-0.0156888	0.0307132	-0.0403486	-0.0536443	-0.00835779	-0.0438873	0.00827412	0.0207192	0.0385983	0.0400478	0.0250242	-0.170989	0.0335078	-0.0165412	-0.0787623	0.0838663	0.0824627	0.0339597	-0.0206235	-0.0485546	-0.0421038	0.0441972	0.0338918	-0.0658493	0.0233793	-0.0958092	-0.0225505	-0.0601091	0.0384726	0.0838711	-0.0114835	0.0248343	0.0178972	0.011006	-0.0683778	0.234966	-0.0585858	0.0410756	0.0401031	0.0472949	0.0368186	0.0322096	-0.11462	-0.0678569	-0.0437726	0.0285431	-0.0464582	0.0285925	-0.0351869	-0.0203628	-0.120548	0.0588364	0.0566908	-0.0553793	-0.111907	-0.0126133	-0.0717549	-0.0654729	-0.0293938	-0.012249	-0.0165944	-0.0216307	0.0193208	0.0193437	0.0415525	0.0403069	-0.0790461	-0.00247448	0.0425779	-0.0703609	0.0827757	0.0572703	-0.00826162	-0.0389696	0.057803	0.00750662
DB03509	0.0953412	0.0174802	0.0542319	0.00452421	-0.00207815	0.0400387	0.00485404	0.00152687	0.0400984	-0.0579149	-0.0100855	0.0323953	0.0205386	0.0352183	-0.0173348	-0.0170306	0.119619	-0.0653492	-0.0959199	0.0729608	0.00737037	0.0915837	0.0147202	-0.0546497	-0.00519494	-0.0414368	-0.0783317	-0.0272629	0.0266469	-0.0984417	0.0263742	0.00896738	0.132769	0.0178924	-0.00930617	-0.0804565	-0.0339747	-0.0836095	-0.0715066	0.0841517	0.136138	0.024546	0.00211257	0.0158413	-0.00475926	0.0291287	-0.00793933	-0.0166453	0.0344998	-0.105984	-0.0180334	0.00463671	0.0271172	0.0938952	-0.00861872	0.0780499	0.0495018	-0.00677572	-0.0110407	0.202976	0.0641879	0.0306645	-0.0572931	0.0767097	0.029983	0.0327717	-0.0378085	-0.0128001	-0.0387794	-0.0324158	-0.00390853	-0.0337595	0.0104019	-0.0542394	-0.0643799	0.0772747	0.0199077	-0.043871	-0.0802914	-0.0179783	-0.127633	-0.0950741	-0.0338654	-0.0352736	-0.0305237	-0.0162367	0.00753483	0.0445465	-0.0290078	0.0440551	-0.0794811	0.00862702	0.0296136	-0.0675179	0.0938144	0.131609	0.0101825	-0.124697	0.0127452	0.0130773
DB10532	-0.00954135	-0.00656001	-0.00294796	-0.0155151	-0.00451864	-0.0196622	-0.0151017	0.00779561	0.0016956	-0.00487495	-0.022595	0.0131774	0.00128345	-0.0159871	-0.0191006	-0.0176626	-0.000291495	0.00748561	0.0140168	0.0082385	-0.00503202	0.00729247	-0.00157909	0.0104548	0.0131115	-0.00587326	0.00333234	0.0193311	0.0322358	0.000606717	0.0272675	0.0200552	0.0102898	-0.00190878	-0.0171232	-0.00579411	-0.00508493	-0.0190279	-0.0276822	0.0166688	0.0679878	-0.0047409	0.0120494	0.0161427	0.0241764	-0.00567688	0.00675134	0.00218434	0.013661	-0.0173259	0.00762059	-0.0196526	0.0171494	0.0172554	0.00105061	0.019761	-0.00947928	-0.00263056	-0.0113959	0.0630637	-0.0115014	-0.0136596	0.00666172	0.00313827	0.00375076	-0.00967255	-0.010256	0.0207564	-0.023576	-0.00124038	-0.00196044	-0.011405	-0.00235936	0.00565266	-0.0122615	0.00935232	-0.0159545	-0.0113093	-0.0139128	0.00816224	-0.0155957	0.00503505	0.0113861	-0.00384308	-0.0180849	0.0173709	0.00786418	0.0155836	0.0201258	0.0104677	0.00502883	-0.00775006	0.0128204	0.00790288	0.00665323	0.0144559	-0.0160203	-0.0194305	-0.0154228	-0.00955249
DB02901	0.0834576	-0.012988	-0.0189203	-0.0155328	0.0276303	-0.0806902	-0.0200967	-0.0751594	-0.0295035	-0.0422412	0.092261	0.0387462	0.118457	0.0426572	-0.0428944	0.00131335	0.0499827	0.0241335	-0.0131862	0.0750389	0.0234008	0.118631	0.0335152	-0.031794	0.0169496	-0.053714	-0.0900241	-0.0911204	0.0380731	-0.0686292	0.0341782	-0.0289749	0.149842	-0.0254246	0.0174153	-0.159306	0.0648909	-0.0887277	-0.0632861	0.070906	0.0935433	-0.000245188	-0.0320126	-0.0212731	-0.0527102	0.03543	0.0351343	-0.090933	0.0310278	-0.0830705	-0.0477118	-0.0751395	0.0226696	0.116765	-0.00750854	0.05304	0.105792	0.00424687	0.0214116	0.173466	0.0401677	-0.0491928	0.0399756	0.0448179	0.0497647	0.0899876	-0.148916	-0.0229733	-0.0693325	0.0495822	-0.038918	0.00977669	-0.070125	-0.00767746	-0.128192	0.0472759	0.0174439	-0.0572583	-0.106265	-0.0628383	-0.09853	-0.111713	-0.0834893	-0.00883596	-0.0170216	-0.0238923	0.0257853	0.0132059	-0.0132872	0.0367981	-0.0871775	-0.0146696	0.0886429	-0.0711079	0.106118	0.0475619	-0.00375701	0.00891122	-0.00438471	0.0623989
DB02587	0.0649138	0.007719	0.0492398	-0.048317	0.040446	0.00400281	-0.00254525	0.0250149	0.00123119	-0.0552349	0.0444855	-0.000596293	0.0194291	-0.00412837	-0.0787819	-0.00672376	0.101714	-0.0348618	-0.095651	0.0447667	0.0560025	0.1338	-0.0196854	-0.0649704	-0.018719	0.007763	-0.0429259	-0.0409222	0.0155633	-0.075427	0.00589099	0.0135687	0.131893	-0.00104835	-0.0347051	-0.141759	0.0276212	-0.0863865	-0.00272868	0.0646945	0.15116	0.0535273	-0.0248846	-0.0584406	0.00671206	0.0458036	-0.0121719	-0.095414	0.0100598	-0.0622266	-0.0287284	-0.0387072	0.0573739	0.0638063	-0.0162578	0.0884654	0.100232	-0.0154933	-0.00888205	0.179838	-0.0252344	0.0457658	0.0181782	0.0206997	0.0347135	0.0267502	-0.123388	-0.0604658	-0.0299246	-0.00275754	-0.037902	-0.0760428	-0.00726909	-0.101015	-0.122948	0.0392209	-0.0181877	-0.0497025	-0.113998	-0.0143578	-0.0889233	-0.10354	-0.013997	-0.0519717	-0.0238899	-0.0227964	0.0861063	0.0223043	-0.0217466	0.0549214	-0.0599679	0.00218579	0.0279252	0.0378271	0.110194	0.065452	0.014369	-0.0366494	0.0345698	-0.0050103
DB05271	0.0992227	-0.0295371	0.0175872	-0.00419367	-0.0220612	-0.0708152	-0.0155854	-0.00829469	0.0182709	-0.0474595	0.101274	0.0790804	0.110411	-0.020076	-0.0573821	0.00572698	0.118962	-0.0473563	-0.039838	0.0606904	0.0633792	0.0715565	0.0539465	-0.0448439	-0.0539812	0.0187812	-0.0935005	-0.0197326	0.00509405	-0.103647	-0.0255679	-0.0401692	0.160765	0.0585203	-0.029489	-0.15044	0.0326737	-0.0913374	-0.005579	0.0503315	0.105088	-0.00652563	-0.00334879	-0.0232124	-0.0602711	0.00533814	0.0339178	-0.125455	0.00356269	-0.0806395	-0.0652288	-0.0327484	-0.0203413	0.136734	0.000397408	0.0901204	0.104904	0.0327027	0.0394564	0.26402	-0.0607311	-0.0617559	0.0275994	0.0597456	0.0574586	0.0654444	-0.124356	-0.0556294	-0.0823667	0.0484769	-0.051202	-0.0641974	0.0320227	-0.0808411	-0.123569	0.0340976	0.0774284	-0.0705624	-0.106643	-0.110041	-0.110331	-0.0929533	-0.108282	-0.0481378	-0.0886908	-0.0345263	0.0202342	-0.0109023	0.0361018	0.0534127	-0.0443075	-0.0358215	0.0980427	-0.0506602	0.0848859	0.0827293	0.0215396	0.0127167	-0.029785	0.0597394
DB03615	0.102698	-0.00949871	0.0255659	0.00586229	-0.021249	0.00985214	-0.0181771	-0.0420867	-0.0112256	-0.109042	0.0178477	0.0112527	0.103843	0.034422	0.000893799	-0.00220312	0.121108	-0.015652	-0.00308325	0.0701316	0.0672627	0.135146	-0.00152058	-0.0507642	-0.00455619	-0.00848815	-0.0887877	-0.0453842	-0.016978	-0.0500397	0.0292085	-0.0529564	0.102434	0.014669	0.0262055	-0.102435	0.0492995	-0.0959762	-0.067531	0.0588043	0.126544	-0.00372815	-0.0254881	-0.0537909	0.0179696	0.026476	0.0423677	-0.106094	0.0231595	-0.0164033	0.0189556	-0.0970625	0.0538903	0.0376766	-0.00142983	0.0517046	0.0897658	0.00214209	-0.0230716	0.174454	-0.0646302	-0.00546073	0.0514286	0.00528916	0.0450398	0.0365613	-0.130924	-0.065084	-0.0599082	0.0375949	0.0162074	0.018752	-0.0227125	-0.0116789	-0.131959	0.0792826	0.0313197	-0.0634341	-0.105811	-0.0860281	-0.0807739	-0.122613	-0.0396647	-0.0436305	-0.0546555	-0.018343	0.0623162	0.00924452	0.0201377	0.0591118	-0.07878	-0.0537129	0.0626837	-0.0611404	0.123664	0.0778596	0.00224703	-0.0361188	0.00532296	0.0421385
