accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0.7563939970407948,0.8431467560347922,0.7536076964190274,0.0,Naive Bayes,0.7623269896193772,0.7450856055802156,0.8355680171542224,0.0
0.8075459733671528,0.8949726985756334,0.8082148499210111,0.0,Logistic Regression,0.8054156171284634,0.8110336081166772,0.8918346013631002,0.0
0.7958148383005708,0.8786895298612946,0.7953389830508475,0.0,Random Forest,0.797196857082183,0.7934897484675544,0.8789149187612514,0.0
0.7536997885835095,0.8353195369936018,0.7538038884192731,1.0,Naive Bayes,0.7534854245880862,0.7541226215644821,0.8277038738831354,0.0
0.8028541226215645,0.8909926930831,0.8039524860716913,1.0,Logistic Regression,0.799498222872674,0.8084566596194503,0.886636555833173,0.0
0.7898520084566596,0.8730279926243023,0.7915268456375839,1.0,Random Forest,0.7852684144818977,0.7978858350951374,0.8755003598103062,0.0
0.7489429175475687,0.8368827617868417,0.7476357454043142,2.0,Naive Bayes,0.7515488143559068,0.7437632135306554,0.8291744923545897,0.0
0.8099365750528541,0.8955021079581982,0.8104175453395192,2.0,Logistic Regression,0.8083718973496004,0.8124735729386893,0.890114647631733,0.0
0.7960887949260043,0.8810350931822089,0.7966262519768055,2.0,Random Forest,0.7945320715036803,0.7987315010570825,0.8805024829145975,0.0
0.7496828752642706,0.8374697364975479,0.748138693894916,3.0,Naive Bayes,0.7527825342465754,0.7435517970401692,0.8279866713747436,0.0
0.802431289640592,0.892457156510584,0.8030765988831524,3.0,Logistic Regression,0.8004620877966814,0.805708245243129,0.8860638540376974,0.0
0.7899577167019027,0.8761074995655195,0.7902902374670184,3.0,Random Forest,0.7890410958904109,0.7915433403805496,0.8757746648847489,0.0
0.7536997885835095,0.8384889904807082,0.7513340448239061,4.0,Naive Bayes,0.7586206896551724,0.7441860465116279,0.8333855691483893,0.0
0.8061310782241015,0.886284667965543,0.8060900824698668,4.0,Logistic Regression,0.8062605752961083,0.8059196617336152,0.8851613335776766,0.0
0.7955602536997886,0.8748995466601747,0.7968487394957985,4.0,Random Forest,0.7918580375782881,0.8019027484143764,0.8790203773315036,0.0
0.7399577167019028,0.8286427797056997,0.7383535417996172,5.0,Naive Bayes,0.7429366438356164,0.7338266384778013,0.8177960836547787,0.0
0.7980972515856237,0.8876387388522436,0.798225227128671,5.0,Logistic Regression,0.7977195945945946,0.7987315010570825,0.8831554693401391,0.0
0.8009513742071882,0.88305641825697,0.8007618241455932,5.0,Random Forest,0.8015251006142766,0.8,0.8824235570712782,0.0
0.7593023255813953,0.8455832181391341,0.758664546899841,6.0,Naive Bayes,0.7606801275239108,0.7566596194503171,0.8357291634075154,0.0
0.8058139534883721,0.8948945999657734,0.806080439142827,6.0,Logistic Regression,0.8049757537423572,0.8071881606765328,0.8902613429640324,0.0
0.7939746300211417,0.8810976616095811,0.7953805774278215,6.0,Random Forest,0.7899895724713243,0.8008456659619451,0.877780395031489,0.0
0.75,0.8386977630972783,0.7501320655044903,7.0,Naive Bayes,0.7497360084477297,0.7505285412262156,0.8270473653393167,0.0
0.8034883720930233,0.8951946698171827,0.8047063767202438,7.0,Logistic Regression,0.7997494257673836,0.8097251585623678,0.8892047521778581,0.0
0.798414376321353,0.8859933098015611,0.7997059132444072,7.0,Random Forest,0.7946149029430182,0.804862579281184,0.883591264431522,0.0
0.7567653276955603,0.8369842219207067,0.7532439678284182,8.0,Naive Bayes,0.7643090315560391,0.7424947145877379,0.8302834679455949,0.0
0.8068710359408033,0.8918370854622927,0.8078662319907456,8.0,Logistic Regression,0.8037246285833857,0.8120507399577167,0.8895070822289466,0.0
0.8047568710359408,0.8844389506462306,0.8032804345510703,8.0,Random Forest,0.8094011590470058,0.7972515856236786,0.8843369433555776,0.0
0.7556025369978858,0.8376804520826046,0.7549289802840788,9.0,Naive Bayes,0.7570153061224489,0.7528541226215645,0.8307978849411566,0.0
0.8090909090909091,0.8959451340342542,0.8101744797141054,9.0,Logistic Regression,0.8056020066889632,0.814799154334038,0.8909875787224723,0.0
0.7965116279069767,0.8820595912975551,0.7975602061205174,9.0,Random Forest,0.7934714375392341,0.8016913319238901,0.8811217142167533,0.0
0.7488902980342422,0.8381854566943414,0.7506820566631689,0.0,Naive Bayes,0.7453636174202959,0.7560769393362925,0.8302047313060494,1.0
0.8075459733671528,0.8931099523372943,0.808134021704773,0.0,Logistic Regression,0.805672268907563,0.8106108645106743,0.8885754724445736,1.0
0.7969773832170789,0.8837799484935118,0.7980658046883212,0.0,Random Forest,0.793810121288164,0.8023673641936165,0.8821970121918774,1.0
0.7517970401691332,0.8400026827245345,0.7507430997876857,1.0,Naive Bayes,0.7539445628997867,0.7475687103594081,0.832268726897273,1.0
0.807399577167019,0.8952725975221737,0.8075623151668778,1.0,Logistic Regression,0.8068805403123681,0.8082452431289641,0.8905246078961601,1.0
0.8099365750528541,0.8888925947664483,0.8100570462708643,1.0,Random Forest,0.809543918918919,0.810570824524313,0.8881314000420152,1.0
0.7554968287526427,0.8429565035753284,0.7528053863417763,2.0,Naive Bayes,0.7611843527123406,0.7446088794926005,0.8343647001506288,1.0
0.8076109936575053,0.8984868392592088,0.8078952923791429,2.0,Logistic Regression,0.8067032040472175,0.8090909090909091,0.8923729601437452,1.0
0.8071881606765328,0.8926082264408661,0.8071065989847716,2.0,Random Forest,0.807448159119763,0.8067653276955603,0.889951682616022,1.0
0.7596194503171247,0.8428581996165452,0.7570512820512819,3.0,Naive Bayes,0.7652267818574514,0.7490486257928118,0.8347441324101926,1.0
