accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0.6623777663407102,0.7285959474254105,0.652910052910053,0.0,Naive Bayes,0.6717474142623843,0.6351003602676274,0.7263256013047086,0.0
0.7102418939783839,0.7639594078815588,0.712461695607763,0.0,Logistic Regression,0.70704510897111,0.7179619145651055,0.7801000675717018,0.0
0.8239835306227483,0.8979582819119774,0.8275340393343419,0.0,Random Forest,0.8111715274345032,0.8445702521873392,0.908346177960712,0.0
0.6857951621204323,0.7471675266712814,0.6812842599843384,1.0,Naive Bayes,0.691207627118644,0.6716417910447762,0.7498726574061737,0.0
0.7215645908389089,0.7768841136096403,0.7225641025641025,1.0,Logistic Regression,0.7199795605518651,0.7251672671127123,0.7906900975273419,0.0
0.8306742151312404,0.89077088756922,0.8330796549974632,1.0,Random Forest,0.8214107053526764,0.845084920226454,0.9061342708785567,0.0
0.6654657745753989,0.7269873298587849,0.6587926509186353,2.0,Naive Bayes,0.6722013926084628,0.6459083890890376,0.7292541498587245,0.0
0.7228512609366958,0.7777121420893687,0.7250446770487617,2.0,Logistic Regression,0.7193515704154002,0.7308286155429747,0.7865716936816618,0.0
0.8273288728769943,0.9049256514538864,0.8314493845767396,2.0,Random Forest,0.8120706575073602,0.851775604734946,0.9113100884206577,0.0
0.669583118888317,0.7319268488805434,0.6657990629880272,3.0,Naive Bayes,0.6735123749341759,0.6582604220277921,0.7340080084783812,0.0
0.7040658775090067,0.7582929681050365,0.7058823529411764,3.0,Logistic Regression,0.7015760040671073,0.7102418939783839,0.7756773129401531,0.0
0.8301595470921256,0.8939207440588365,0.8354935194416749,3.0,Random Forest,0.8100531657805703,0.8625836335563561,0.9065273575332382,0.0
0.6699279093717817,0.7365408626524663,0.6652741514360314,4.0,Naive Bayes,0.6747881355932204,0.6560247167868177,0.7377879727334725,0.0
0.7157569515962925,0.7718354714736394,0.7192268565615463,4.0,Logistic Regression,0.7105527638190955,0.7281153450051493,0.7842775186908503,0.0
0.8300720906282183,0.8974011900148293,0.8352471293060408,4.0,Random Forest,0.810562015503876,0.8614830072090628,0.9082204740778138,0.0
0.6776519052523172,0.7374019314398214,0.6717357105401154,5.0,Naive Bayes,0.6842948717948718,0.6596292481977343,0.7407929863041594,0.0
0.705200823892894,0.7651382275557113,0.7075351213282248,5.0,Logistic Regression,0.701976685250887,0.7131822863027807,0.781929031512206,0.0
0.825437693099897,0.9023502280286884,0.8292191435768261,5.0,Random Forest,0.8116370808678501,0.8475798146240988,0.9128482427047615,0.0
0.6753347064881565,0.7440227119410365,0.670843121900287,6.0,Naive Bayes,0.6802541026998412,0.6616889804325438,0.7440522845315382,0.0
0.7157569515962925,0.7774566565562153,0.717068170169144,6.0,Logistic Regression,0.7137755102040816,0.7203913491246138,0.7891844966436545,0.0
0.8318743563336766,0.8993292480591105,0.8371977063076539,6.0,Random Forest,0.8115031416143065,0.864572605561277,0.9117414813314229,0.0
0.6768795056642637,0.7349950378997834,0.6746175784288307,7.0,Naive Bayes,0.6793733681462141,0.6699279093717817,0.7440591785889668,0.0
