accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0.6465180508976129,0.6778504837269443,0.6311043399489418,0.0,Naive Bayes,0.6598785895724804,0.6047346616689683,0.6944353535726602,0.0
0.7087393963306372,0.7788860555970715,0.708762378190713,0.0,Logistic Regression,0.7087064578484359,0.7088183073584533,0.7782401727729633,0.0
0.8406391793253107,0.9172573909594027,0.8454326279132065,0.0,Random Forest,0.8207452539287439,0.8716512132570526,0.9229296579174252,0.0
0.6483330045373841,0.6780386103787593,0.6335115131578948,1.0,Naive Bayes,0.6613865636402662,0.6078911027816137,0.6960279910756905,0.0
0.7100414282896035,0.7792488608147573,0.7093418762853979,1.0,Logistic Regression,0.7110573682749871,0.7076346419412113,0.7791379121993002,0.0
0.8422371276385875,0.9148268269059123,0.8467684761156566,1.0,Random Forest,0.8231262106988526,0.8718090353126849,0.9221146264018568,0.0
0.6478398106135332,0.6823599127757999,0.6317331297835909,2.0,Naive Bayes,0.6620114147353857,0.6041033734464392,0.6978495157047774,0.0
0.7088183073584533,0.777614641237845,0.7086228679722048,2.0,Logistic Regression,0.709098810793726,0.7081475636220161,0.7801329508377213,0.0
0.839041231012034,0.9144217039576917,0.8435924470430366,2.0,Random Forest,0.8203952274422073,0.8681396725192345,0.9214009999937343,0.0
0.6509370684553166,0.6857536229030706,0.6354758961681087,3.0,Naive Bayes,0.6649277861608105,0.6085223910041428,0.7020654926504278,0.0
0.7118366541724206,0.7800183613932766,0.7114552673685874,3.0,Logistic Regression,0.712398132763668,0.7105148944565003,0.7803991669741548,0.0
0.8430262379167489,0.9163367398768041,0.8472011521843494,3.0,Random Forest,0.8252525252525252,0.8703491812980864,0.9229557511743347,0.0
0.6507003353718682,0.6802553495108314,0.6355740336722513,4.0,Naive Bayes,0.6643431866098705,0.60919313474058,0.697807181783088,0.0
0.7110278161373051,0.7778703932850713,0.7107082197732749,4.0,Logistic Regression,0.7114951164537942,0.7099230617478792,0.7818561301270714,0.0
0.8421582166107714,0.9163761007709887,0.8465094864465631,4.0,Random Forest,0.823799566873273,0.8705070033537187,0.9231434633698286,0.0
0.6528112053659499,0.6848045206634603,0.6377390337786377,5.0,Naive Bayes,0.6666810122224135,0.6112053659498915,0.7012835651594502,0.0
0.7103965279147761,0.7783245097115058,0.7110122445765582,5.0,Logistic Regression,0.7095037913016148,0.7125271256658118,0.7796392159475622,0.0
0.8415269283882423,0.9161182228320562,0.8464552631075941,5.0,Random Forest,0.820925404122794,0.8736239889524561,0.922904559415828,0.0
0.6468139672519234,0.6800878566897097,0.6300650893687364,6.0,Naive Bayes,0.6614316702819957,0.6015387650424147,0.6950868910592319,0.0
0.7057605050305781,0.7762799817212577,0.7053012191025665,6.0,Logistic Regression,0.7064038628987572,0.7042020122312093,0.7762494136450617,0.0
0.8387453146577234,0.9129505742079264,0.8434279584722062,6.0,Random Forest,0.8196269684672945,0.8686525942000395,0.920299789517404,0.0
0.647721444071809,0.6780770777235102,0.631396428940035,7.0,Naive Bayes,0.662077922077922,0.603432629710002,0.6955985564528115,0.0
0.7033734464391399,0.7729696269920656,0.7026460467507811,7.0,Logistic Regression,0.7043733396772531,0.7009272045768397,0.7737153390918873,0.0
0.8380745709212862,0.9139841689667856,0.8425172678434382,7.0,Random Forest,0.8200186741363212,0.8662852633655553,0.9202144694009802,0.0
0.6518445452752022,0.6837442639771558,0.6370218017276842,8.0,Naive Bayes,0.6653490870032224,0.6110080883803511,0.7009092694032064,0.0
0.7115012823042021,0.7779245180277001,0.7105304829770389,8.0,Logistic Regression,0.7129294935451838,0.7081475636220161,0.7798669074991591,0.0
0.8409548234365752,0.9165220258155691,0.845685628971748,8.0,Random Forest,0.8212572958102532,0.8716117577431446,0.9229354373056826,0.0
0.6482402146464646,0.6792187752704255,0.6319613590389299,9.0,Naive Bayes,0.6626266124145096,0.6040088383838383,0.6961019776959941,0.0
0.7063407512626263,0.7747991712592783,0.7066127919582144,9.0,Logistic Regression,0.7059588043007364,0.7072679924242424,0.776987716259123,0.0
0.8398240214646465,0.9143373505929915,0.8444606218509932,9.0,Random Forest,0.8207037795568796,0.8696338383838383,0.9214044295942377,0.0
0.648273821266522,0.6810104242740364,0.6312894219832489,0.0,Naive Bayes,0.6633202955236853,0.6022095087788518,0.6972547072922765,1.0
0.7093509567962123,0.7781597358152735,0.7085978757491248,0.0,Logistic Regression,0.7104386451971128,0.7067666206352338,0.7785003020654677,1.0
0.8408167291378971,0.9161047511475334,0.84487763615741,0.0,Random Forest,0.8238602279544092,0.8669954626159005,0.9225088865391665,1.0
0.6501282304202012,0.6824223335412817,0.634638758987248,1.0,Naive Bayes,0.6640369029142956,0.6077332807259814,0.6982200488262957,1.0
0.7075360031564412,0.7781122022154088,0.7071836299354124,1.0,Logistic Regression,0.7080367030533143,0.706332609982245,0.7776475181069012,1.0
0.8406983625961728,0.9155180948037525,0.8453094768299457,1.0,Random Forest,0.8215296395591302,0.8705070033537187,0.922175973537952,1.0
0.6477806273426712,0.6821775248747439,0.6317699954626078,2.0,Naive Bayes,0.6618555810034139,0.6043006510159795,0.6991233652650048,1.0
0.7128624975340304,0.7791233526959861,0.7117308035095364,2.0,Logistic Regression,0.7145470452557067,0.7089366739001776,0.7809833685551697,1.0
0.8440520812783586,0.915896648455996,0.8489076626082304,2.0,Random Forest,0.8232742641061763,0.8761885973564806,0.923301970389995,1.0
0.6527717498520418,0.6857738572738098,0.6374142512823682,3.0,Naive Bayes,0.6669109405983275,0.6104162556717301,0.7025459664715309,1.0
