,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6616257088846881,0.6876034545460628,0.6398390342052314,9.0,Naive Bayes,0.6838709677419355,0.6011342155009451,0.7070943857404741,0.0
1,0.6134215500945179,0.6453274419530517,0.5744016649323621,9.0,Logistic Regression,0.6388888888888888,0.5217391304347826,0.6782530079580905,0.0
2,0.6266540642722117,0.7026795589936794,0.5141451414514145,9.0,Random Forest,0.7359154929577465,0.3950850661625709,0.7127440224984902,0.0
0,0.6272123893805309,0.6413111027325954,0.6276243093922652,8.0,Naive Bayes,0.6269315673289183,0.6283185840707964,0.6499481165322265,0.0
1,0.5940265486725663,0.6230900950858378,0.5926748057713651,8.0,Logistic Regression,0.5946547884187082,0.5907079646017699,0.6230519226251077,0.0
2,0.6592920353982301,0.7332415717753358,0.5826558265582655,8.0,Random Forest,0.7517482517482518,0.4756637168141593,0.7123942751977446,0.0
0,0.5998185117967332,0.6236859332803442,0.5979945305378304,7.0,Naive Bayes,0.6007326007326007,0.5952813067150635,0.6377021156056798,0.0
1,0.6007259528130672,0.6206099810524055,0.5599999999999999,7.0,Logistic Regression,0.623608017817372,0.5081669691470054,0.6334564115401464,0.0
2,0.5843920145190563,0.6225606416172206,0.46620046620046623,7.0,Random Forest,0.6514657980456026,0.3629764065335753,0.6578897961469166,0.0
0,0.6670403587443946,0.7522590551574928,0.6966292134831461,6.0,Naive Bayes,0.6397748592870544,0.7645739910313901,0.7500150817430473,0.0
1,0.6748878923766816,0.7376003040446756,0.6874999999999999,6.0,Logistic Regression,0.6618257261410788,0.7152466367713004,0.7392014719781214,0.0
2,0.6928251121076233,0.7372459757844981,0.6531645569620252,6.0,Random Forest,0.75,0.57847533632287,0.7445001910354121,0.0
0,0.6572890025575447,0.6849738244285004,0.6378378378378378,5.0,Naive Bayes,0.6762177650429799,0.6035805626598465,0.7063663895448093,0.0
1,0.6176470588235294,0.6690136700194383,0.557037037037037,5.0,Logistic Regression,0.6619718309859155,0.48081841432225064,0.6736873777644049,0.0
2,0.5843989769820972,0.6728882084464329,0.4519392917369309,5.0,Random Forest,0.6633663366336634,0.34271099744245526,0.7030697078119583,0.0
0,0.6434782608695652,0.6838140804267064,0.6267071320182093,4.0,Naive Bayes,0.6576433121019108,0.5985507246376811,0.7027557235874815,0.0
1,0.6652173913043479,0.6937599672497603,0.6577777777777778,4.0,Logistic Regression,0.6727272727272727,0.6434782608695652,0.7144339424490653,0.0
2,0.6326086956521739,0.6988659572059813,0.5318559556786704,4.0,Random Forest,0.732824427480916,0.41739130434782606,0.7269124133585381,0.0
0,0.6118421052631579,0.6611914555829255,0.6477611940298508,3.0,Naive Bayes,0.592896174863388,0.7138157894736842,0.6633591585872576,0.0
1,0.6299342105263158,0.6546226339864772,0.6153846153846153,3.0,Logistic Regression,0.6405693950177936,0.5921052631578947,0.6934188885041552,0.0
2,0.6381578947368421,0.672515221697614,0.5940959409594097,3.0,Random Forest,0.6764705882352942,0.5296052631578947,0.6721779778393353,0.0
0,0.6222760290556901,0.6620674221676554,0.5905511811023623,2.0,Naive Bayes,0.6446991404011462,0.5447941888619855,0.6808388394139616,0.0
1,0.6162227602905569,0.6470952051040002,0.571041948579161,2.0,Logistic Regression,0.647239263803681,0.5108958837772397,0.6823866001442231,0.0
2,0.6101694915254238,0.704549472718732,0.4789644012944984,2.0,Random Forest,0.7219512195121951,0.3583535108958838,0.7126089734945974,0.0
0,0.6663778162911612,0.7284251745349553,0.6956521739130436,1.0,Naive Bayes,0.6395348837209303,0.7625649913344887,0.731471274656158,0.0
1,0.6733102253032929,0.7032943534879499,0.6758383490971626,1.0,Logistic Regression,0.6706484641638225,0.6811091854419411,0.7263320407654485,0.0
2,0.6750433275563258,0.7452418665081608,0.6215943491422805,1.0,Random Forest,0.7439613526570048,0.5337954939341422,0.7476458944699922,0.0
0,0.6132530120481928,0.6764004059174968,0.5535465924895688,0.0,Naive Bayes,0.6546052631578947,0.4795180722891566,0.6692175932646248,0.0
1,0.5819277108433735,0.6381256606602043,0.45865834633385333,0.0,Logistic Regression,0.6504424778761062,0.3542168674698795,0.6358136159094208,0.0
2,0.6060240963855422,0.6669185206793469,0.43327556325823224,0.0,Random Forest,0.7716049382716049,0.30120481927710846,0.6720917404557991,0.0
0,0.6174004192872118,0.6417260306788257,0.6112886048988286,9.0,Naive Bayes,0.6212121212121212,0.6016771488469602,0.6507785820708569,1.0
1,0.5555555555555556,0.607652002096781,0.48792270531400966,9.0,Logistic Regression,0.5754985754985755,0.42348008385744235,0.6120186877277183,1.0
2,0.5943396226415094,0.6488196140187978,0.46025104602510464,9.0,Random Forest,0.6875,0.34591194968553457,0.6715363755828927,1.0
0,0.6329588014981273,0.7084670255093464,0.5916666666666667,8.0,Naive Bayes,0.6666666666666666,0.5318352059925093,0.6921299218673289,1.0
1,0.6413857677902621,0.6736664024410177,0.5938494167550371,8.0,Logistic Regression,0.684596577017115,0.5243445692883895,0.6913128252605591,1.0
2,0.5842696629213483,0.6827578150932516,0.4126984126984127,8.0,Random Forest,0.7027027027027027,0.29213483146067415,0.6875850411704469,1.0
0,0.719059405940594,0.7500196060202646,0.715894868585732,7.0,Naive Bayes,0.7240506329113924,0.7079207920792079,0.7753590334280952,1.0
1,0.6745049504950495,0.7262763102861527,0.657997399219766,7.0,Logistic Regression,0.6931506849315069,0.6262376237623762,0.7536270953828057,1.0
2,0.6646039603960396,0.7462211664815276,0.5621970920840065,7.0,Random Forest,0.8093023255813954,0.4306930693069307,0.7593618272718361,1.0
0,0.6077669902912621,0.6437352885392922,0.6203007518796994,6.0,Naive Bayes,0.6010928961748634,0.6407766990291263,0.6551418606843247,1.0
1,0.6038834951456311,0.6193668258137994,0.5836734693877551,6.0,Logistic Regression,0.6150537634408603,0.5553398058252427,0.6519898199641814,1.0
2,0.6038834951456311,0.6433152652841492,0.5119617224880383,6.0,Random Forest,0.6666666666666666,0.4155339805825243,0.669563578094071,1.0
0,0.6292929292929293,0.6557457639155487,0.6384236453201971,5.0,Naive Bayes,0.6230769230769231,0.6545454545454545,0.6714865830017345,1.0
1,0.6111111111111112,0.6510511577012664,0.6051282051282051,5.0,Logistic Regression,0.6145833333333334,0.5959595959595959,0.6708988878685849,1.0
2,0.598989898989899,0.6327538581305607,0.5043695380774031,5.0,Random Forest,0.6601307189542484,0.4080808080808081,0.6572757881848792,1.0
0,0.6386861313868614,0.6734710823104695,0.625,4.0,Naive Bayes,0.6496062992125984,0.6021897810218978,0.6830145452608023,1.0
1,0.6441605839416058,0.6876646803174774,0.6107784431137725,4.0,Logistic Regression,0.6740088105726872,0.5583941605839416,0.699224785550642,1.0
2,0.614963503649635,0.6696970204629158,0.4815724815724816,4.0,Random Forest,0.7368421052631579,0.35766423357664234,0.6964675795194203,1.0
0,0.628735632183908,0.6887265932715247,0.6333711691259931,3.0,Naive Bayes,0.625560538116592,0.6413793103448275,0.6776430175716739,1.0
1,0.6080459770114942,0.6468247290885928,0.5742821473158553,3.0,Logistic Regression,0.6284153005464481,0.5287356321839081,0.6530268199233715,1.0
2,0.6068965517241379,0.6733988605462238,0.4925816023738872,3.0,Random Forest,0.694560669456067,0.3816091954022989,0.6845607081516712,1.0
0,0.6289833080424886,0.6825607894806577,0.6514611546685674,2.0,Naive Bayes,0.614247311827957,0.6934749620637329,0.6764237901266691,1.0
1,0.6267071320182094,0.6526628910983858,0.6544943820224719,2.0,Logistic Regression,0.6091503267973856,0.7071320182094082,0.6735270481554569,1.0
2,0.6191198786039454,0.6861044031950604,0.5752961082910322,2.0,Random Forest,0.6500956022944551,0.5159332321699545,0.6960309108618614,1.0
0,0.6461988304093568,0.6806302902549566,0.6284544524053224,1.0,Naive Bayes,0.6616379310344828,0.5984405458089669,0.6982471339709464,1.0
1,0.6052631578947368,0.6506294457820194,0.5464725643896976,1.0,Logistic Regression,0.6421052631578947,0.4756335282651072,0.6459499409124935,1.0
2,0.6403508771929824,0.7096713169394874,0.5461254612546125,1.0,Random Forest,0.74,0.4327485380116959,0.713837876041631,1.0
0,0.666256157635468,0.6922780473164676,0.6599749058971142,0.0,Naive Bayes,0.6726342710997443,0.6477832512315271,0.7188235579606397,1.0
1,0.6588669950738916,0.6880097003655345,0.6471337579617835,0.0,Logistic Regression,0.6701846965699209,0.625615763546798,0.7022191754228445,1.0
2,0.6145320197044335,0.715325610777194,0.5023847376788554,0.0,Random Forest,0.7085201793721974,0.3891625615763547,0.7266070518576039,1.0
0,0.631163708086785,0.6780400523176787,0.634765625,9.0,Naive Bayes,0.6286266924564797,0.6410256410256411,0.6782053227205707,2.0
1,0.6380670611439843,0.6553305564979068,0.6369930761622156,9.0,Logistic Regression,0.6388888888888888,0.6351084812623274,0.6795747114363409,2.0
2,0.6104536489151874,0.6903440641165458,0.4955300127713922,9.0,Random Forest,0.7028985507246377,0.3826429980276134,0.6940038669669986,2.0
0,0.6496539792387543,0.6692076833533129,0.6633416458852869,8.0,Naive Bayes,0.6384,0.6903114186851211,0.7040385052860957,2.0
1,0.6384083044982699,0.6604015079417418,0.6377816291161178,8.0,Logistic Regression,0.6388888888888888,0.6366782006920415,0.6869619616623364,2.0
