,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.7521222410865874,0.8380147664311104,0.7531281704430165,9.0,Naive Bayes,0.7500842034355002,0.7561969439728353,0.8310873593059451,0.0
1,0.7683644595359366,0.8578120098768494,0.7606852598959246,9.0,Logistic Regression,0.7867682631833576,0.7362761743067345,0.8534022827483299,0.0
2,0.7608941709111489,0.8288939756164534,0.7422994815492528,9.0,Random Forest,0.8048941798941799,0.688737973967176,0.8426849916839857,0.0
0,0.7343716201600692,0.8162774426129411,0.7210992505110152,8.0,Naive Bayes,0.7590246234759742,0.6867834739346744,0.810430631407849,0.0
1,0.7214471122647631,0.8097546484874034,0.7057075929840598,8.0,Logistic Regression,0.7479714181906262,0.6679645252000865,0.8070760521799208,0.0
2,0.7489725286610426,0.8215699581464941,0.725552796499941,8.0,Random Forest,0.800208659363589,0.663638330088687,0.8306093417272561,0.0
0,0.7235043202449962,0.8101181166718177,0.7106889448386359,7.0,Naive Bayes,0.7452298091923677,0.6792081373728536,0.7944884474326759,0.0
1,0.7515585693973532,0.822234587053263,0.7439553626782393,7.0,Logistic Regression,0.7674418604651163,0.7218637208793612,0.8288352735000383,0.0
2,0.7273323854314776,0.7968742006679901,0.6948218876239441,7.0,Random Forest,0.7888811674774149,0.6208027999562507,0.8140727502133545,0.0
0,0.7360297706198146,0.8188470394237464,0.7246229236937567,6.0,Naive Bayes,0.7573500066515897,0.6946071254270376,0.8094742944992629,0.0
1,0.7183382137628112,0.7717035271224939,0.7051535857973051,6.0,Logistic Regression,0.7397829291169771,0.6736212786725232,0.7873249095310333,0.0
2,0.7596388482186432,0.8289717257967698,0.7505697644973411,6.0,Random Forest,0.78,0.7232796486090776,0.8320104785131293,0.0
0,0.7465540240106714,0.8335922676683063,0.747954897192129,5.0,Naive Bayes,0.7438434476693052,0.7521120497999111,0.8273462801806484,0.0
1,0.7439417518897288,0.8241892454429338,0.7360944033911898,5.0,Logistic Regression,0.7593665051412363,0.7142063139172966,0.8271777971178732,0.0
2,0.7338261449533126,0.7850047622535843,0.7145837058227547,5.0,Random Forest,0.7702685339843248,0.6664072921298355,0.8090473761274464,0.0
0,0.711871158661507,0.7900970485352636,0.7108013937282229,4.0,Naive Bayes,0.7134502923976608,0.7081720919644889,0.7852266003345657,0.0
1,0.7317323013885727,0.8058858024784963,0.734691580369203,4.0,Logistic Regression,0.7266755733689602,0.7428864101980424,0.81192899232472,0.0
2,0.7320737536990667,0.7977342633472779,0.7086273053595742,4.0,Random Forest,0.7765870862723819,0.6516048258593217,0.8063081779266303,0.0
0,0.7327498083312037,0.823581113801298,0.7257229034161694,3.0,Naive Bayes,0.7453198653198653,0.7071300792231024,0.8114124032618735,0.0
1,0.7478916432404804,0.843362252219519,0.7398813447593935,3.0,Logistic Regression,0.764161220043573,0.7170968566317404,0.8353836892874924,0.0
2,0.7385637618195757,0.7886660569382853,0.7244444444444443,3.0,Random Forest,0.7658029612756264,0.6873243036033734,0.8082465617991207,0.0
0,0.7506247768654052,0.8336725781352009,0.7605279698302955,2.0,Naive Bayes,0.7314794460320949,0.7919790550993693,0.8294949969770038,0.0
1,0.7346780911579198,0.8187236433069723,0.741492260420894,2.0,Logistic Regression,0.7229256160976713,0.7610377246221588,0.8161955272061943,0.0
2,0.7655599190765203,0.8183189426696383,0.7605736509479826,2.0,Random Forest,0.7771017012293555,0.7447340235630132,0.8397971607840424,0.0
0,0.7254648760330579,0.7949085917167539,0.7170238253693597,1.0,Naive Bayes,0.7397692941499588,0.6956353305785123,0.7991483709328682,0.0
1,0.7256585743801653,0.7926633588112846,0.7194453615054472,1.0,Logistic Regression,0.7361167409809485,0.7035123966942148,0.801184304644278,0.0
2,0.7178460743801653,0.7958997151725431,0.6868730295213528,1.0,Random Forest,0.7715711526078558,0.6189307851239669,0.8102285800577147,0.0
0,0.7459870113956623,0.8282099801848155,0.7423564504101416,0.0,Naive Bayes,0.753120665742025,0.7318956010292856,0.8238280694636421,0.0
1,0.733549810072295,0.8082390532985412,0.7300266931528959,0.0,Logistic Regression,0.7398087569199798,0.7204999387329984,0.8094705706761822,0.0
2,0.783359882367357,0.856662609192272,0.773797338792221,0.0,Random Forest,0.8095301833757195,0.7410856512682269,0.8622298446917168,0.0
0,0.7269998965124702,0.8050841267825427,0.7208465608465607,9.0,Naive Bayes,0.737468875175923,0.7049570526751526,0.8007400573924726,1.0
1,0.7366759805443444,0.798505891099015,0.7379100787969306,9.0,Logistic Regression,0.7344679106007792,0.7413846631480907,0.8117429355195795,1.0
2,0.7397806064369243,0.806787180078344,0.7108939350388043,9.0,Random Forest,0.799663735126746,0.6398633964607264,0.8219268131434496,1.0
0,0.7397631346856495,0.8171884089369208,0.7342895735511674,8.0,Naive Bayes,0.750065703022339,0.7191634118684641,0.8155381656245337,1.0
1,0.7403930956280711,0.8181578243328007,0.7326976714016994,8.0,Logistic Regression,0.7550802139037434,0.7116038805594053,0.818638998949282,1.0
2,0.7390071815547437,0.8180830628865924,0.7160578438763621,8.0,Random Forest,0.7850916741809438,0.6581831926420562,0.832169864709915,1.0
0,0.7229783373029375,0.8035507025117604,0.7194302452472576,7.0,Naive Bayes,0.7287642541307889,0.7103323125779744,0.7965268076305467,1.0
1,0.6967789497561528,0.7689659799959464,0.6934586940319899,7.0,Logistic Regression,0.7011361001623,0.6859476012249064,0.7693968376869572,1.0
2,0.7417488941816944,0.8093228822042536,0.7198917456021651,7.0,Random Forest,0.786453433678269,0.663717817851877,0.8208105021117388,1.0
