Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49
DB01326	0.13107198	0.015932113	0.015173374	0.00334936	-0.1069674	-0.018630615	-0.21372949	-0.11971999	-0.17487004	-0.09275811	0.145066	-0.13990021	0.22637951	-0.07999424	-0.18818967	0.036144916	-0.10868997	-0.17447567	0.042798035	-0.066707075	0.13706823	-0.11088962	-0.038156595	-0.12007952	-0.08421856	0.16360377	0.208871	-0.028430378	0.21545728	-0.096243046	0.060424197	0.17560442	-0.033868887	-0.011176972	-0.111237615	0.13977504	-0.018489996	0.016405744	-0.073888354	0.043745097	0.020236447	0.04262012	-0.01736432	-0.19314347	0.0111293215	-0.12115388	0.02276388	-0.075037524	-0.13372397	0.13143696
DB01325	0.12641974	0.0041390434	0.04035611	-0.049315833	-0.114792824	-0.05323355	-0.19660322	-0.056695387	-0.13152531	-0.07810443	0.12404603	-0.08862937	0.20603094	-0.034966376	-0.17611937	0.09013331	-0.07650684	-0.14495431	0.031145582	-0.0872124	0.1402397	-0.12918966	-0.061501514	-0.02768189	-0.115066856	0.15141366	0.21829793	-0.029086718	0.20398024	-0.12390113	0.049438946	0.09327149	-0.028097909	-0.12148176	-0.13681406	0.09206443	0.019798717	0.03789751	-0.0889252	0.03652408	-0.0054587834	0.057971578	-0.02356774	-0.1203104	-0.010475447	-0.07013929	0.03874205	-0.12091514	-0.12567323	0.12778723
DB01324	0.16674766	-0.00020609028	0.0887465	-0.0023363293	-0.12198888	0.04795805	-0.17718612	-0.09697769	-0.11996634	-0.05228153	0.16198775	-0.02315447	0.20516348	-0.03690253	-0.18823566	0.090836704	-0.054547943	-0.094869494	0.045525774	-0.11517331	0.04081975	-0.11694726	-0.04425982	-0.09702886	-0.11071757	0.11670564	0.20952842	-0.037039146	0.21261036	-0.14042854	0.041420996	0.10780007	0.00638483	-0.11325145	-0.105168805	0.106210776	0.030521737	-0.0046648365	-0.070443615	0.033935048	0.027544253	0.027314752	-0.026359433	-0.047966097	0.0041491473	-0.10342794	0.04595552	-0.068948194	-0.097044624	0.12024741
DB01323	0.07901385	0.066740096	0.027062004	0.08216744	-0.1263497	-0.028462684	-0.06632735	-0.13516806	-0.16587965	0.013657689	0.041512046	-0.05608396	0.099892475	-0.021330167	-0.061596807	0.0034378245	-0.005782794	-0.11490834	0.11455123	-0.05960611	-0.01646329	-0.09073386	0.023674976	-0.07858215	-0.061181977	0.032007366	0.14393009	-0.025745183	0.07433794	-0.06966026	0.06603771	0.11547241	-0.081525736	-0.017136117	-0.11246359	0.054771967	0.03922058	0.04070066	-0.09061247	-0.016049381	-0.019623235	0.013777968	0.0027312841	-0.056714363	-0.008750749	-0.03227577	0.045066457	-0.042883024	-0.09854985	0.10246551
DB01450	0.09336477	0.045328073	0.03606567	-0.10029601	-0.049966414	0.054319307	-0.04930728	-0.045279562	-0.07016347	-0.0152016375	0.069276355	-0.020940648	0.10049665	-0.07510181	-0.11292419	-0.009329324	-0.007729817	-0.06801779	0.059503015	-0.03212163	0.055353276	-0.15200815	-0.09259293	-0.0022810567	-0.061296113	0.056642108	0.12821929	0.06435234	0.1837827	-0.13174617	0.09416264	0.23180138	-0.061966997	-0.053901095	-0.020772034	0.021535989	0.03304411	-0.021237453	-0.06635744	-0.0010941416	0.016439246	0.086700626	-0.09179078	-0.07977236	-0.04365468	-0.13637775	-0.00894862	-0.112459555	0.02946002	0.050244484
DB01321	0.13437085	0.034632437	0.04830772	-0.0037317686	-0.087634325	0.0283912	-0.20319836	-0.12520385	-0.1345072	-0.06611933	0.13158081	-0.09541431	0.21258949	-0.0573548	-0.20031878	0.008106425	-0.15257673	-0.1665857	0.019633997	-0.06838527	0.13856697	-0.09655907	-0.094202705	-0.11380263	-0.08478999	0.15303554	0.22087163	-0.020232048	0.22783959	-0.14340813	0.04087416	0.16425495	-0.029335119	-0.07247304	-0.116860665	0.10890445	-0.042940475	-0.00046288047	-0.07954281	0.052181076	0.031353172	0.050618224	-0.015735473	-0.096902944	-0.006533401	-0.087802134	0.045335077	-0.06077542	-0.12762721	0.122393936
DB01320	0.07684413	0.016702065	0.07433878	-0.006801968	-0.11680578	-0.033812713	-0.20573881	-0.14277564	-0.16402234	-0.042361155	0.10699111	-0.1590917	0.20873196	-0.042968012	-0.20816514	0.019636922	-0.16125524	-0.12007831	0.039014466	-0.09623824	0.1106102	-0.06848942	-0.01673813	-0.11844781	-0.116556324	0.16890265	0.1979334	-0.0076587535	0.21208343	-0.11605572	0.07549295	0.19351701	-0.038861822	-0.11176573	-0.12171063	0.16967364	-0.074980505	0.011077022	-0.15206964	0.015708815	-0.018148635	0.044657227	-0.01519314	-0.17719664	-0.01729624	-0.1114279	0.10215358	-0.10930731	-0.1245579	0.13589841
DB01147	0.11235599	0.00026210235	0.09573805	-0.0050973766	-0.109074816	-0.017145297	-0.19539632	-0.08039442	-0.16523023	-0.077703215	0.16175427	-0.13789682	0.22038856	-0.048149467	-0.21967107	0.09063446	-0.16575603	-0.093547374	0.046094313	-0.10504109	0.12770872	-0.11686222	-0.04553185	-0.10732916	-0.10723096	0.20224333	0.21993238	0.0030574552	0.1997181	-0.030484648	0.051332742	0.23988134	-0.005318284	-0.0060117356	-0.11086716	0.13221566	0.044377524	0.00877765	-0.15094884	0.033805933	-0.112917036	0.033832427	-0.01885142	-0.19754505	0.0012965329	-0.09115457	0.07155629	-0.05492764	-0.12712689	0.1078376
DB01144	0.12035352	0.0010617954	0.07551146	-0.008762138	-0.10055411	-0.030934962	-0.20347328	-0.14462724	-0.12203246	-0.052998647	0.11787251	-0.14844199	0.15700904	-0.05415729	-0.19676009	0.021619748	-0.13150686	-0.08672812	0.030671863	-0.08200724	0.13075526	-0.085742034	-0.036058392	-0.12751497	-0.117968604	0.10730684	0.18751846	-0.035810042	0.20289215	-0.09548166	0.032070886	0.107646465	-0.0050153714	-0.009902604	-0.12053706	0.11264115	0.0658458	0.03575919	-0.1503979	0.035747275	-0.023500986	0.053121902	0.020787783	-0.17377615	0.0084915245	-0.089588165	0.058510035	-0.079205126	-0.15296221	0.14079647
DB01143	0.085035756	0.02449107	0.08982423	-0.03616473	-0.098082684	-0.025616262	-0.18165252	-0.13955295	-0.12520577	-0.05001134	0.09062168	-0.13368276	0.20743597	-0.027581606	-0.18098184	0.084968984	-0.1594232	-0.1738991	0.046959266	-0.053430766	0.10466663	-0.11051719	-0.05234749	-0.117944025	-0.1779064	0.12362014	0.18429784	0.016154574	0.20159665	-0.07636902	0.06303049	0.20287299	-0.026875919	-0.04166275	-0.12034726	0.12852101	0.030818136	0.04413515	-0.1456634	0.017661296	-0.087628	0.028175551	0.028745906	-0.12760046	-0.008089367	-0.06814981	0.075208426	-0.056571312	-0.13510604	0.14437483
