Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99
DB01179	-0.010343434	-0.080439374	0.10851376	-0.03344117	0.0036259976	0.04090506	0.032670856	0.053183198	0.08201961	0.062588155	-0.05440622	0.14244898	0.017252147	0.060324237	-0.0608783	0.0623141	-0.019648217	-0.011672552	0.06502979	-0.106818564	0.067089014	0.09660189	0.047804758	0.019943811	0.01929737	-0.062213685	0.046446778	0.02750177	-0.005173183	0.07284088	-0.027259344	-0.08877266	0.02987698	0.07740675	-0.0030346834	0.0062600486	0.105734915	-0.00858769	0.059312955	-0.081918314	0.010582974	0.11384544	0.0876205	-0.031663932	-0.0822564	0.049117282	-0.07446578	-0.030819733	0.01034924	-0.01479614	-0.11046691	0.10889264	-0.038025588	-0.03372	-0.019510262	0.13283566	0.03099962	-0.12882456	0.03756131	-0.09578011	0.11241222	0.111216374	-0.025411477	-0.062475637	0.01247943	-0.07694777	0.0052527166	0.063830025	0.06723436	-0.10955107	0.09326007	0.022938035	-0.11491086	0.07665914	0.10252134	-0.005535786	0.09901196	0.021780802	-0.09557931	0.008156801	-0.059926268	-0.04039669	-0.051864162	-0.006872275	-0.041781455	-0.107887805	0.030137602	-0.020103712	0.04460624	0.065434985	-0.07120864	0.076890215	-0.06780891	-0.078299716	0.03091299	-0.0026188218	-0.039485384	0.1334319	-0.030498812	0.037891567
DB01176	-0.014623735	-0.06982191	0.11240068	-0.0031424281	0.005078743	0.024425577	0.02318653	0.07472551	0.06545944	0.022055514	-0.0584414	0.13857357	0.025642741	0.053564847	0.009843357	0.0685643	-0.015490345	-0.031596556	0.07794341	-0.029028878	0.07617698	0.088800974	0.03068388	0.0541913	-0.029798046	-0.08024798	0.050905526	-0.0038568303	-0.012994095	0.050265092	-0.05099328	-0.07128992	0.03188294	0.0049753767	0.00052728597	0.042968396	0.07718536	0.0022222537	0.073716454	-0.047624882	0.055059984	0.12831259	0.082458325	0.0287013	-0.086699	0.08570226	-0.01737654	-0.024713354	0.029641276	-0.026624095	-0.11021722	0.11987527	-0.037216026	-0.060288094	-0.07319067	0.13843414	-0.0060166004	-0.11908321	0.046316087	-0.08446941	0.114300296	0.094897166	-0.017356608	-0.04958251	-0.002305044	-0.07030659	-0.048845522	0.068891965	0.06257495	-0.09238448	0.084811404	0.04265726	-0.089097425	0.042461123	0.110625304	-0.033112686	0.09129592	0.017945873	-0.06190857	-0.0011855967	-0.09153112	-0.00076392957	-0.039508663	-0.044994354	0.002964403	-0.10726954	0.054759253	-0.06564556	0.066563144	0.07001343	-0.08096722	0.08386035	-0.06396799	-0.056413352	0.017621554	-0.06882677	-0.045419425	0.13142718	-0.016053652	0.04315987
DB01177	-0.029026497	-0.07535831	0.108617954	-0.0017460854	-0.0012893847	0.02479774	0.012697419	0.068892315	0.05523901	0.034524385	-0.014043584	0.13760272	-0.025402704	0.055699676	-0.03258682	0.07148001	0.0062852083	-0.034980994	0.062030915	-0.07945848	0.06908872	0.105807394	0.0064957626	0.018317826	0.0040541207	-0.099047944	0.06143291	-0.002368571	0.0058451546	0.05390226	-0.015212245	-0.08801304	0.025459936	0.07482405	-0.0050890897	0.041560285	0.0992482	-0.023331435	0.06995336	-0.071713775	0.03303829	0.113647304	0.08280544	-0.014673722	-0.08061875	0.06588591	-0.058049574	0.009128538	0.025412014	0.043977205	-0.08930883	0.104526244	-0.046441264	-0.077406175	-0.027749412	0.1511061	0.051485617	-0.13223943	-0.008502031	-0.057531755	0.10587796	0.09590791	-0.02102705	-0.066491514	0.022843968	-0.06389378	-0.04054512	0.08535206	0.0531999	-0.09323637	0.08226107	0.044938803	-0.11235793	0.06882839	0.09979044	-0.031527217	0.10080092	0.043545827	-0.08628722	0.0025911517	-0.09556245	-0.00610203	-0.0468129	-0.06430444	0.0017725468	-0.10320374	0.02818929	-0.05278411	0.056427836	0.029433057	-0.06922127	0.08596535	-0.050369333	-0.0806507	0.01502548	-0.055244897	-0.04862153	0.1355879	-0.014408163	-0.011020508
DB01174	-0.042444505	-0.057836756	0.12284603	-0.006939726	0.06063383	0.051777966	0.03697869	0.035263676	0.03926228	0.072012104	-0.030028995	0.13825107	-0.011696327	0.07870137	-0.04322223	0.10035554	-0.041100956	-0.0192483	0.08971334	-0.09763771	0.11239344	0.08125077	0.063084796	0.0055661984	-0.017393695	-0.08950803	0.06742841	-0.03792501	0.036847405	0.049147002	-0.053577706	-0.09660947	0.036163487	0.09706486	0.00017041073	-0.00056149706	0.13565563	0.0017755695	0.057913475	-0.068838686	0.0057987785	0.11887397	0.08275453	0.038539845	-0.09772727	0.055549208	-0.037565786	-0.04844172	-0.008529162	-0.022710621	-0.12994981	0.09056865	-0.07724472	-0.06055277	-0.016858052	0.16541068	0.039554134	-0.14864185	0.003851215	-0.08208447	0.10621345	0.10175979	-0.02524551	-0.080602534	0.0005127238	-0.09452898	0.011942603	0.10612442	0.0939804	-0.10762447	0.095761776	-0.013456509	-0.12238591	0.0614001	0.07582838	-0.026220046	0.10101501	0.03913608	-0.10128886	0.028858751	-0.112715915	-0.060289543	-0.021214314	-0.042393304	-0.052330032	-0.108435154	0.077134944	-0.05403363	0.01986516	0.08761792	-0.06750449	0.073568344	-0.05846478	-0.068944596	0.009955076	-0.037860885	-0.017118262	0.13701911	0.024242701	-0.0056344233
DB01175	-0.04601454	-0.04947188	0.11817798	-0.024418874	0.02880934	0.07343573	0.014927371	0.07269272	0.04520039	0.052094158	-0.04643462	0.14184888	0.010473967	0.07702857	-0.05357955	0.061660122	0.020426735	0.016835578	0.05378079	-0.10850294	0.09991227	0.086025685	0.035446644	0.048861682	0.029506557	-0.07717381	0.048505124	-0.020319875	-0.0089163035	0.08482043	-0.039482262	-0.10595581	0.08723944	0.08184932	0.010982424	0.014497132	0.14443538	-0.043945305	0.086644426	-0.040672157	0.033577777	0.094254516	0.073792875	0.04301463	-0.08430561	0.06746781	-0.044350334	-0.029942203	0.018762447	0.037860934	-0.12331295	0.10005983	-0.07086523	-0.0500493	-0.089697555	0.15740767	0.030626485	-0.14269973	0.049551364	-0.078503445	0.1115109	0.12753057	-0.047821887	-0.05193223	0.016075592	-0.07596249	0.0019340484	0.064710744	0.042838145	-0.10434723	0.0827286	-0.016718656	-0.111262724	0.07622151	0.080721475	-0.0406279	0.086412735	0.0476138	-0.10178214	-0.0035742447	-0.105046496	-0.024789928	-0.059823923	-0.087170064	-0.0053175264	-0.11401895	0.06882789	-0.051880263	0.008614182	0.034383047	-0.049393468	0.05679261	-0.051939033	-0.06902492	0.025120705	-0.022916008	-0.029295154	0.15340666	0.0035384195	-0.012393184
DB01172	-0.03665082	-0.090000436	0.11525104	0.012110636	0.0122592	0.032147106	0.028546363	0.048016716	0.04780859	0.018456269	-0.054628145	0.13686544	0.017983574	0.06453243	-0.032418847	0.06623528	-0.032994017	-0.0028410098	0.047608543	-0.06654366	0.07912957	0.077988215	-0.0030025826	0.046448052	0.0027478533	-0.07574156	-0.0034054471	0.03163063	-0.024796784	0.063519515	-0.04584327	-0.039406363	0.05842448	0.08741401	0.00977221	0.047262806	0.10068583	-0.008461894	0.079484515	-0.042853117	0.037114628	0.12087702	0.027332649	0.027385283	-0.08814517	0.099233426	-0.078862466	-0.021905638	0.036513563	0.03787992	-0.10331413	0.100604445	-0.030032832	-0.069547266	-0.066214375	0.14160442	-0.02418197	-0.11483784	0.05299902	-0.08156493	0.10202741	0.095391765	-0.03225766	-0.07921391	0.00071760756	-0.068841234	-0.040318422	0.07119133	0.08182391	-0.11330343	0.0888664	0.018132318	-0.13311979	0.04867459	0.092595644	-0.014235422	0.11002177	0.046621762	-0.04627201	0.0035005754	-0.076547414	-0.01901957	-0.054209426	-0.017735444	0.004753085	-0.11092019	0.03492871	-0.061083883	0.074945286	0.014466424	-0.065304175	0.058036994	-0.06227088	-0.06374124	0.046852935	-0.024137303	-0.010986332	0.13771835	-0.019837439	0.052565098
DB01173	-0.04253126	-0.06515354	0.13414021	-0.012784474	0.054626245	0.06195061	0.02814242	0.05785174	0.080571756	0.03296812	-0.06670314	0.13673015	0.014909491	0.061094802	-0.0690115	0.068220176	-0.063193336	0.0086374795	0.06326019	-0.06410877	0.10285878	0.09135379	0.044342678	-0.012603999	0.008282068	-0.07642461	0.055839248	-0.02455411	-0.03039951	0.07848908	-0.04652935	-0.09646101	0.03177302	0.06332865	0.011185683	0.033304922	0.11705418	-0.04934742	0.082132295	-0.057272114	-0.0044206074	0.115819454	0.09331791	0.033333868	-0.0918092	0.060651183	-0.04051162	-0.041838836	0.038338214	-0.024590693	-0.12587991	0.102649614	-0.033416692	-0.06725764	-0.0093376	0.1444157	-0.012255364	-0.1433457	-0.016935654	-0.07598659	0.06333117	0.107434206	-0.034955688	-0.06141763	0.034472905	-0.06630355	0.026210096	0.06707809	0.06038279	-0.103748165	0.09022331	-0.027500212	-0.09167463	0.02806152	0.084410384	-0.043550145	0.07204917	0.029533733	-0.08294538	0.014066327	-0.109219186	-0.044128165	-0.0584214	-0.062587835	-0.04668929	-0.085810855	0.08682932	-0.05529139	0.05195614	0.055778366	-0.08473835	0.076288596	-0.0719454	-0.016094098	0.026413117	-0.010178269	-0.018466908	0.11371356	-0.03220728	0.0027146246
DB01170	0.0069620023	-0.052319065	0.117852055	0.012501067	0.010615237	0.046928808	0.024007311	0.054404598	0.06579325	0.028195806	-0.048627604	0.13943562	-0.012968133	0.073018044	-0.04543776	0.06487686	-0.0043462184	0.0020009344	0.062808	-0.046562057	0.07078709	0.08738565	0.04850879	0.03485117	-0.010695916	-0.110961005	0.047886778	0.035749596	-0.021651383	0.061744347	-0.024914471	-0.029131705	0.039697427	0.025100157	-0.002615299	0.03585863	0.11621529	-0.015716735	0.07254703	-0.04432447	0.008784579	0.10776914	0.019489372	-0.034709968	-0.03699785	0.029589532	-0.056981057	-0.023624646	0.0045266952	-0.03466112	-0.11469801	0.09425202	-0.049388126	-0.05167136	-0.02808102	0.13187137	-0.016707256	-0.12512584	0.0056530097	-0.084246896	0.11385044	0.08948314	-0.05392713	-0.03467868	0.009158895	-0.05781813	0.016650213	0.072212376	0.03880567	-0.092111655	0.091674864	0.02694435	-0.10666312	0.04924585	0.09860114	-0.02707146	0.084009446	0.048415687	-0.09677465	-0.011123359	-0.06028738	-0.00048369332	-0.06492144	-0.045050684	-0.025824247	-0.11918566	0.052265085	-0.04079388	0.068192706	0.078910656	-0.060435906	0.059246648	-0.071882814	-0.019448686	0.0015092631	-0.041789502	-0.03359355	0.14270325	-0.035920847	-0.010982152
DB01171	-0.06417573	-0.037699737	0.11355392	0.0063219266	0.022265546	0.011962261	0.02036821	0.058837295	0.079491965	-0.0016702499	-0.06387658	0.14220989	-0.017168123	0.06606323	-0.058344785	0.062428292	-0.031089773	-0.0123616345	0.058166448	-0.065109566	0.06838908	0.08487273	0.0224066	0.015311926	0.011472679	-0.10787614	0.073075205	-0.020783883	-0.01320964	0.06705267	-0.059442185	-0.105876684	0.039113775	0.045295194	0.03648682	0.0026579704	0.11821042	-0.007427614	0.06643774	-0.035181083	0.019614317	0.10066619	0.08994663	0.018704472	-0.09294089	0.08358844	-0.068432	0.02467779	0.042179316	0.037110433	-0.11955291	0.11171157	-0.05853616	-0.06518288	-0.02075778	0.14630085	0.0033733533	-0.12602155	0.033408552	-0.07992882	0.10162744	0.08884392	-0.012537437	-0.07652748	0.026458308	-0.090171255	-0.011773346	0.054827277	0.04137317	-0.10105959	0.09022152	0.026051627	-0.09603163	0.032384142	0.09278035	-0.026379408	0.095589474	0.053444423	-0.09340597	-0.004768164	-0.08759134	-0.01821655	-0.044963866	-0.059452057	-0.024136016	-0.107377954	0.065921076	-0.015615707	0.00046740193	0.06707587	-0.04892271	0.062427554	-0.07375585	-0.12032965	0.0127296	-0.06437274	-0.0057823188	0.16570665	-0.035952147	0.037185334
DB01489	-0.023940912	-0.080459796	0.079431266	0.021118743	0.032614607	-0.005962063	0.023734532	0.028854601	0.047531642	0.016080163	-0.07581933	0.12366075	0.018659584	0.06119749	-0.0514111	0.00035593368	0.008374845	-0.039389536	0.03457736	-0.042218767	0.063141584	0.015159018	-0.010619769	0.061245076	-0.043590233	-0.05089956	-0.005567311	0.033183634	-0.013228796	0.06774732	-0.03665486	-0.0068298546	0.0355432	0.020737473	-0.031253595	0.027717773	0.07256635	-0.03046237	0.08172901	-0.02433184	0.025492884	0.059194736	0.00428882	0.013329428	-0.06318512	0.081193395	-0.03287422	0.022037173	0.001174858	-0.019302346	-0.03254379	0.039298102	-0.062141623	-0.04802672	-0.05098698	0.09144937	-0.021104673	-0.07439307	0.08731438	-0.07816462	0.08834607	0.09557927	-0.020102717	-0.028650487	0.025113845	-0.065507226	-0.028948678	0.06587739	0.009522942	-0.05627022	0.01637848	-0.015716009	-0.0643549	0.09580561	0.06039034	-0.018402055	0.07114515	-0.03832483	-0.029283442	0.024210855	-0.02419145	0.0024474596	-0.0039881347	0.017570468	-0.01741376	-0.08197057	0.009166077	-0.057704367	0.07432343	0.020351475	-0.0415162	0.021006815	-0.06063273	-0.089741744	0.060758017	-0.0030127272	-0.05213643	0.10914032	-0.0024042919	0.0069414107
