Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49
DB01179	-0.10435386	0.07833256	0.23034468	-0.07323063	-0.07060592	-0.1181762	-0.096884355	-0.19589572	0.07625408	-0.05026218	0.13179079	-0.047399927	-0.060058657	-0.08779219	-0.16962	-0.038046706	0.15774803	0.007959261	-0.0045972313	-0.047325823	0.10703631	0.064453974	0.21451735	-0.09913569	0.00983331	-0.0799905	-0.15666166	0.02111448	0.13523544	0.10676634	0.20519806	0.051137038	0.04493273	0.0011223691	-0.19871153	-0.016329601	0.13846572	0.025282465	-0.011816479	-0.055045806	-0.09554367	-0.1730946	0.27212313	-0.050796777	-0.18650275	0.09101676	0.11769453	-0.013641931	-0.029534483	-0.1128754
DB01176	-0.11219458	0.10184188	0.24793223	-0.03327903	-0.08813042	-0.1261505	-0.1104316	-0.20177089	0.026645916	-0.059371803	0.16122764	-0.05930634	-0.0661972	-0.08869825	-0.15749675	-0.06453265	0.13467728	0.00835807	-0.01235525	-0.066134974	0.113714285	0.036592446	0.1490808	-0.053963367	0.01216246	-0.06400933	-0.120453306	0.07033379	0.13931872	0.059425857	0.2096849	0.06370464	0.012308317	-0.09094189	-0.18696716	-0.018724335	0.12194601	0.03604084	-0.009885687	-0.0526124	-0.10228435	-0.19319546	0.1757938	0.049060974	-0.10358319	0.09639026	0.13121095	0.054160133	-0.06996181	-0.14533696
DB01177	-0.060807273	0.093614236	0.22311711	-0.018762771	-0.041742787	-0.14369197	-0.09580536	-0.17841356	0.05244003	-0.08142784	0.10918975	-0.06032205	-0.06383092	-0.07939327	-0.15929443	-0.020910382	0.17064132	-0.00039123045	-0.028646015	-0.052240785	0.108543135	0.04167825	0.18458459	-0.071887456	0.013809722	-0.10183153	-0.15213475	0.023948217	0.11791622	0.12491868	0.21137738	0.06699151	0.051799074	-0.06859408	-0.20699604	0.0011398785	0.1334062	0.02419194	0.001484933	0.024999993	-0.07984388	-0.1890429	0.25536337	-0.03136224	-0.12658072	0.07504968	0.018670917	-0.019386958	-0.12501703	-0.15270302
DB01174	-0.09146647	0.07506431	0.26680946	-0.07111951	-0.089239255	-0.1299668	-0.08105829	-0.23738854	0.05476837	-0.06434123	0.13751724	-0.07469309	-0.106211394	-0.10449718	-0.16138566	-0.038876455	0.17597783	-0.012793499	-0.017420437	-0.09366175	0.13694468	0.052312944	0.18611787	-0.07333846	-0.050171204	-0.098424606	-0.15615915	0.07659688	0.14421254	0.15426658	0.2044939	0.0670405	-0.0052514593	0.0034564203	-0.21086091	-0.02248127	0.122998215	0.02514292	0.023524377	-0.06867503	-0.06748789	-0.24662237	0.26330048	0.06999511	-0.17070524	0.08692637	0.100050025	-0.03499439	-0.009097066	-0.111384526
DB01175	-0.10706077	0.059526667	0.26001024	-0.08366229	-0.047719076	-0.101553135	-0.099175915	-0.1852264	0.09309223	-0.042084616	0.12659901	-0.039250515	-0.07642497	-0.09496944	-0.15332738	-0.06672854	0.14130853	-0.019332565	0.012418446	-0.098759785	0.0404652	0.09275964	0.19985814	-0.08280613	0.018250844	-0.09483757	-0.10987288	0.032565273	0.16224521	0.16312063	0.21475394	0.09086472	0.024990534	-0.01674948	-0.21330276	-0.022293625	0.14490369	0.0010118736	0.01716378	-0.06147964	-0.08290291	-0.24129592	0.2363944	0.089490846	-0.26077318	0.09087941	0.028780524	0.011223696	-0.001774793	-0.12753774
DB01172	-0.09444629	0.09179373	0.24261509	0.0029537443	-0.054990206	-0.15024775	-0.097439274	-0.17489724	0.013857547	-0.045668196	0.12578969	-0.0864709	-0.039107785	-0.06571562	-0.1609443	-0.05260401	0.16252679	0.02233906	-0.0056086346	-0.084871165	0.14925744	0.04496378	0.20367342	-0.099809535	0.023870442	-0.088920645	-0.12838042	0.025420312	0.1799195	0.09381985	0.17557693	0.08066655	0.018781358	-0.017595813	-0.15856546	0.00551635	0.116995335	0.0047385385	0.016326725	-0.0053663505	-0.11886026	-0.17817463	0.24177857	-0.0528382	-0.20211029	0.094759606	0.13360237	0.027933203	-0.09572434	-0.14088555
DB01173	-0.08216343	0.07008901	0.27171686	-0.05364177	-0.040218685	-0.09620434	-0.09776788	-0.2278486	0.03920525	-0.039611124	0.12625436	-0.0782444	-0.08697235	-0.08180101	-0.1587169	-0.035968345	0.17048326	-0.011223427	0.024797518	-0.10546813	0.12188022	0.05718912	0.20276815	-0.07810877	-0.0465934	-0.08517126	-0.14914514	0.073117316	0.14905065	0.124777555	0.21224265	0.07553906	-0.00832465	-0.07589482	-0.18834929	-0.044065427	0.10938119	0.018436728	0.016040033	-0.075267635	-0.08997112	-0.18782648	0.25012276	0.08248652	-0.16304275	0.06258846	0.10757253	-0.0026973179	-0.08093516	-0.10006167
DB01170	-0.08100983	0.07113485	0.24722427	-0.05549282	-0.02457441	-0.13452077	-0.07338773	-0.2021871	0.021339115	-0.06157296	0.11180529	-0.07129226	-0.07100811	-0.10561036	-0.14941676	-0.046681624	0.15565468	0.004670111	0.0368013	-0.07574602	0.1347746	0.022072133	0.16947958	-0.03564104	-0.029424662	-0.08114396	-0.1230395	0.09038493	0.13071859	0.09505567	0.20034422	0.0730224	0.015781155	-0.059910394	-0.17068818	-0.034516837	0.13825426	-0.0072870944	0.01971552	-0.05376193	-0.07450147	-0.17242269	0.24461223	-0.01869122	-0.12784281	0.07109781	0.092526786	-0.00840478	-0.023445258	-0.15111007
DB01171	-0.106102854	0.04997357	0.2436699	-0.009747889	-0.08246631	-0.1278031	-0.09753172	-0.19176045	0.0058164652	-0.13679957	0.1506328	-0.08238294	-0.07406488	-0.10700438	-0.13872194	-0.04667261	0.16535704	-0.0014006565	-0.015239092	-0.070245884	0.13437933	0.04259145	0.16141872	-0.08901949	-0.039195165	-0.060333773	-0.13715556	0.06879622	0.13626109	0.122087315	0.16733572	0.07636928	0.020172067	-0.06990222	-0.19944736	-0.015868515	0.119023584	-0.03836872	0.013852967	-0.07999361	-0.11528961	-0.15217479	0.23118265	0.003708419	-0.20624466	0.086675435	0.010343793	-0.010022303	0.0032983716	-0.1363549
DB01489	-0.06365928	0.09807381	0.1176541	0.006373127	-0.12028709	-0.123133026	-0.053244576	-0.16768841	0.032945663	-0.13808854	0.08760557	-0.07270228	-0.0622077	-0.13274167	-0.13764215	-0.05309324	0.14716075	0.06374058	-0.054517277	0.011322614	0.08896025	0.0149010485	0.15366518	-0.07718584	-0.014177931	-0.07010974	-0.11068147	0.06588098	0.054548584	0.06760226	0.14512658	0.056398623	0.045128968	-0.09607907	-0.10340045	-0.00977236	0.08692589	0.030603245	-0.026396146	0.021346787	-0.077162765	-0.16140898	0.17008965	-0.021776937	-0.14217333	0.07127626	0.018067691	-0.04426899	0.0041486965	-0.09429513
